%time,field.data
1474475501794238953,33.3333358765
1474475503344271248,42.8571434021
1474475504798857602,50.0
1474475507242017763,55.555557251
1474475508644741551,60.0000038147
1474475510099636856,63.6363639832
1474475511395363267,66.6666717529
1474475512828802465,69.2307739258
1474475515178874216,71.4285736084
1474475516638857030,73.3333358765
1474475517959602289,75.0
1474475519383441898,76.4705886841
1474475520759290510,77.7777786255
1474475522899857028,78.9473724365
1474475524350610877,80.0
1474475525752919877,80.9523849487
1474475527391005894,81.8181838989
1474475528739083646,82.6086959839
1474475531701130671,83.3333282471
1474475534278019224,84.0
1474475535722926161,84.6153869629
1474475537341066253,85.1851882935
1474475539199283765,85.7142868042
1474475540563899082,86.2068939209
1474475541977308519,86.6666641235
1474475543364767480,87.0967712402
1474475544653616671,87.5
1474475547614085929,87.8787841797
1474475550397647651,88.2352981567
1474475551780009005,88.5714263916
1474475553437147532,88.8888931274
1474475554868650362,89.1891860962
1474475556400246487,89.4736862183
1474475557819735992,89.7435913086
1474475560451911834,90.0
1474475561842502308,90.2438964844
1474475563352362743,90.4761886597
1474475564775144131,90.6976776123
1474475566379140940,90.9090957642
1474475568276558535,91.111114502
1474475569648770087,91.3043518066
1474475572324806360,91.489364624
1474475573699473924,91.6666717529
1474475577054727590,91.836730957
1474475578377670135,92.0
1474475579812439973,92.1568603516
1474475581319144754,92.3076934814
1474475582746989648,92.4528274536
1474475584345323675,92.592590332
1474475586194547782,92.7272720337
1474475588991367320,92.8571395874
1474475591239929416,92.982460022
1474475592684160019,93.1034469604
1474475602477538176,91.6666717529
1474475604386342736,91.803276062
1474475605771032265,91.9354858398
1474475607365970599,92.0634918213
1474475608754439487,92.1875
1474475610375348861,92.3076934814
1474475612295739762,92.4242401123
1474475613718431835,92.5373153687
1474475616342863472,92.6470565796
1474475617732735193,92.7536239624
1474475620464577645,92.8571395874
1474475621903783425,92.9577484131
1474475623351376693,93.055557251
1474475627744144702,93.1506881714
1474475629883283158,93.2432403564
1474475631310628262,93.3333358765
1474475632688514076,93.4210510254
1474475636384561876,93.5064926147
1474475637787781097,93.5897445679
1474475640486544715,93.6708831787
1474475641759407115,93.75
1474475643666576891,93.8271560669
1474475644984952364,93.9024353027
1474475646333653428,93.9758987427
1474475647767545830,94.0476150513
1474475649359120064,94.1176452637
1474475651276449745,94.1860427856
1474475655359881072,93.1818161011
1474475656730246943,93.258430481
1474475658374403179,93.3333358765
1474475660272498150,93.4065933228
1474475661705301006,93.478263855
1474475664324065722,93.5483856201
1474475669317576256,91.6666717529
1474475670702507111,91.7525787354
1474475672392295320,91.836730957
1474475673705833673,91.9191894531
1474475676179884107,92.0
1474475677448969322,93.0
1474475678845359968,94.0
1474475680359807616,94.0
1474475681748050651,95.0
1474475683338455108,96.0
1474475685285472156,96.0
1474475686704340428,96.0
1474475689338112702,96.0
1474475690681096309,96.0
