%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1474475402617018420,0,1474475402385215906,left_optical,0,1.04719758034,0.800000011921,6.0,2.39723944664
1474475402798743891,1,1474475402518320157,left_optical,0,1.04719758034,0.800000011921,6.0,2.37194252014
1474475402979783112,2,1474475402651671857,left_optical,0,1.04719758034,0.800000011921,6.0,2.35085535049
1474475403150783831,3,1474475402785176854,left_optical,0,1.04719758034,0.800000011921,6.0,2.32095694542
1474475403301749263,4,1474475402918491840,left_optical,0,1.04719758034,0.800000011921,6.0,2.3134932518
1474475403463368414,5,1474475403051722138,left_optical,0,1.04719758034,0.800000011921,6.0,2.30286431313
1474475403624932451,6,1474475403318321919,left_optical,0,1.04719758034,0.800000011921,6.0,2.25417876244
1474475403795985884,7,1474475403451666860,left_optical,0,1.04719758034,0.800000011921,6.0,2.22739458084
1474475403967712421,8,1474475403585157743,left_optical,0,1.04719758034,0.800000011921,6.0,2.25231361389
1474475404138847392,9,1474475403718309577,left_optical,0,1.04719758034,0.800000011921,6.0,2.23387289047
1474475404320372864,10,1474475403985753364,left_optical,0,1.04719758034,0.800000011921,6.0,2.31854772568
1474475404502920039,11,1474475404118302267,left_optical,0,1.04719758034,0.800000011921,6.0,2.33459949493
1474475404664055546,12,1474475404251634044,left_optical,0,1.04719758034,0.800000011921,6.0,2.35318279266
1474475404835202516,13,1474475404518287857,left_optical,0,1.04719758034,0.800000011921,6.0,2.38319063187
1474475404986308277,14,1474475404651621467,left_optical,0,1.04719758034,0.800000011921,6.0,2.4543325901
1474475405157321118,15,1474475404785010988,left_optical,0,1.04719758034,0.800000011921,6.0,2.49076271057
1474475405328629113,16,1474475404918289415,left_optical,0,1.04719758034,0.800000011921,6.0,2.49105596542
1474475405509761072,17,1474475405184941124,left_optical,0,1.04719758034,0.800000011921,6.0,2.49489498138
1474475405670704163,18,1474475405318265432,left_optical,0,1.04719758034,0.800000011921,6.0,2.506554842
1474475405841700169,19,1474475405451590811,left_optical,0,1.04719758034,0.800000011921,6.0,2.45417451859
1474475406002667741,20,1474475405587537562,left_optical,0,1.04719758034,0.800000011921,6.0,2.44679450989
1474475406163631259,21,1474475405851579919,left_optical,0,1.04719758034,0.800000011921,6.0,2.41903996468
1474475406345155998,22,1474475405985759271,left_optical,0,1.04719758034,0.800000011921,6.0,2.4246404171
1474475406475938460,23,1474475406118225704,left_optical,0,1.04719758034,0.800000011921,6.0,2.49299645424
1474475406626800120,24,1474475406251579736,left_optical,0,1.04719758034,0.800000011921,6.0,2.49624466896
