%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1474475398652143399,1,1474475398653748989,map,waypoint,0,2,0,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475492657081275,2,1474475492657151937,map,waypoint,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475492677716541,3,1474475492674772024,map,waypoint,1,2,0,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475501877096848,4,1474475501876671075,map,waypoint,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475501887151466,5,1474475501894088029,map,waypoint,1,2,0,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475592089581146,6,1474475592098171949,map,waypoint,2,2,0,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475662497126625,7,1474475662499528884,map,waypoint,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475662532002035,8,1474475662534553050,map,waypoint,2,2,0,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475752732301287,9,1474475752737968921,map,waypoint,3,2,0,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475795837688672,10,1474475795839219093,map,waypoint,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475795869553648,11,1474475795872931957,map,waypoint,3,2,0,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475886068524749,12,1474475886077236890,map,waypoint,4,2,0,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475930674673972,13,1474475930678805112,map,waypoint,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475930745147888,14,1474475930744302034,map,waypoint,4,2,0,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476020940176801,15,1474476020949197053,map,waypoint,5,2,0,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476067646573193,16,1474476067650336027,map,waypoint,5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474476067676890807,17,1474476067683372974,map,waypoint,5,2,0,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476157881354127,18,1474476157887304067,map,waypoint,6,2,0,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476164585766096,19,1474476164588790893,map,waypoint,6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
