%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475389504191798,1201,1474475389573991135,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475390560440229,1202,1474475390638225320,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475391516217735,1203,1474475391589012366,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475392501941031,1204,1474475392569448841,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475393508070358,1205,1474475393579258691,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475394514438000,1206,1474475394591263948,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475395550880197,1207,1474475395625124511,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475396556850996,1208,1474475396630343306,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475397502292707,1209,1474475397575260325,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475398548611373,1210,1474475398623510069,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475399494366909,1211,1474475399570334661,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475400551461429,1212,1474475400621671446,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475401568235371,1213,1474475401641803067,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475402574705055,1214,1474475402643981808,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475403550531223,1215,1474475403624490357,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475404547240203,1216,1474475404623838789,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475405543852794,1217,1474475405620053152,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475406489695737,1218,1474475406565749708,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475407517495723,1219,1474475407591050019,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475408503917589,1220,1474475408572856334,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475409510081765,1221,1474475409586494298,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475410506239717,1222,1474475410580268671,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475411523057438,1223,1474475411595208308,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475412529136089,1224,1474475412603287208,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475413575195119,1225,1474475413642729885,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475414573235158,1226,1474475414644260697,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475415511783631,1227,1474475415591921384,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475416559443153,1228,1474475416634446542,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475417575930721,1229,1474475417636639969,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475418542102412,1230,1474475418593166390,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475419558628936,1231,1474475419618659156,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475420545079437,1232,1474475420597238510,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475421551556482,1233,1474475421625974465,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475422557793729,1234,1474475422625554487,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475423574196805,1235,1474475423643966546,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475424560838772,1236,1474475424620353046,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475425577912207,1237,1474475425645518774,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475426585097058,1238,1474475426649773762,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
