%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1474731441393678940,10,1474475400621671446,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731442415636916,11,1474475401641803067,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731443414708135,12,1474475402643981808,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731444394493321,13,1474475403624490357,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731445390421351,14,1474475404623838789,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731446387546338,15,1474475405620053152,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731447335278696,16,1474475406565749708,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731448357417644,17,1474475407591050019,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731449342177710,18,1474475408572856334,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731450353807212,19,1474475409586494298,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
