%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1474475389091811730,131,1474475389089858774,dvl,0,0.0174532923847,0.5,75.0,3.31999993324
1474475389534363784,132,1474475389536375735,dvl,0,0.0174532923847,0.5,75.0,3.27999997139
1474475389976980706,133,1474475389983439690,dvl,0,0.0174532923847,0.5,75.0,3.26999998093
1474475390429667851,134,1474475390431883683,dvl,0,0.0174532923847,0.5,75.0,3.32999992371
1474475390872353211,135,1474475390879709542,dvl,0,0.0174532923847,0.5,75.0,3.31999993324
1474475391325055863,136,1474475391328080731,dvl,0,0.0174532923847,0.5,75.0,3.31999993324
1474475391767594188,137,1474475391775453466,dvl,0,0.0174532923847,0.5,75.0,3.30999994278
1474475392220268690,138,1474475392221312924,dvl,0,0.0174532923847,0.5,75.0,3.25999999046
1474475392622747973,139,1474475392625763678,dvl,0,0.0174532923847,0.5,75.0,3.24000000954
1474475393065297380,140,1474475393068896696,dvl,0,0.0174532923847,0.5,75.0,3.13000011444
1474475393508070358,141,1474475393515530799,dvl,0,0.0174532923847,0.5,75.0,3.25999999046
1474475393920540226,142,1474475393922306539,dvl,0,0.0174532923847,0.5,75.0,3.29999995232
1474475394363080400,143,1474475394371044513,dvl,0,0.0174532923847,0.5,75.0,3.30999994278
1474475394816241812,144,1474475394817530979,dvl,0,0.0174532923847,0.5,75.0,3.32999992371
1474475395259166886,145,1474475395264064577,dvl,0,0.0174532923847,0.5,75.0,3.23000001907
1474475395701795932,146,1474475395707281652,dvl,0,0.0174532923847,0.5,75.0,3.25
1474475396144567270,147,1474475396152648225,dvl,0,0.0174532923847,0.5,75.0,3.22000002861
1474475396597087203,148,1474475396598802745,dvl,0,0.0174532923847,0.5,75.0,3.24000000954
1474475396999411205,149,1474475397004781945,dvl,0,0.0174532923847,0.5,75.0,3.27999997139
1474475397401736655,150,1474475397408801661,dvl,0,0.0174532923847,0.5,75.0,3.20000004768
1474475397814068061,151,1474475397813847431,dvl,0,0.0174532923847,0.5,75.0,3.22000002861
1474475398216444179,152,1474475398221078363,dvl,0,0.0174532923847,0.5,75.0,3.22000002861
1474475398629233266,153,1474475398629762555,dvl,0,0.0174532923847,0.5,75.0,3.41000008583
1474475398951124706,154,1474475398959385802,dvl,0,0.0174532923847,0.5,75.0,-1.0
1474475399413917799,155,1474475399418395887,dvl,0,0.0174532923847,0.5,75.0,0.0
