%time,field.header.seq,field.header.stamp,field.header.frame_id,field.MX,field.MY,field.MZ,field.GX,field.GY,field.GZ,field.AX,field.AY,field.AZ
1474475389101873610,511,1474475389003771367,imu,-0.0107,0.3706,-0.2061,-0.0265290046303,0.049916416607,-0.12688543662,-0.73746008,-10.1204628,0.01569064
1474475389202440723,512,1474475389104241215,imu,-0.0147,0.369,-0.2044,-0.0509636141582,0.00488692190558,-0.124965574443,-0.61193496,-10.19107068,-0.01569064
1474475389293010215,513,1474475389203607884,imu,-0.0189,0.368,-0.2026,-0.0799360797413,-0.0230383461263,-0.104370689269,-0.37657536,-10.17538004,-0.07060788
1474475389393561745,514,1474475389301140442,imu,-0.022,0.3696,-0.1996,-0.0998328332141,-0.0157079632679,-0.0666715774262,-0.17259704,-10.12830812,-0.09414384
1474475389494136048,515,1474475389398772939,imu,-0.0248,0.3706,-0.1948,-0.0994837673637,-0.0129154364648,-0.0307177948351,-0.10198916,-10.0812362,-0.12552512
1474475389594732794,516,1474475389496814802,imu,-0.025,0.371,-0.1922,-0.0663225115758,0.00453785605519,0.0115191730632,-0.04707192,-10.03416428,-0.1569064
1474475389695311164,517,1474475389594681320,imu,-0.0251,0.3729,-0.1906,-0.00994837673637,0.00994837673637,0.0425860337487,-0.06276256,-9.94786576,-0.1569064
1474475389785844880,518,1474475389696540149,imu,-0.0237,0.374,-0.1903,0.0502654824574,0.0146607657168,0.0825540736193,-0.14906108,-9.7674234,-0.12552512
1474475389886436795,519,1474475389794396451,imu,-0.019,0.374,-0.1931,0.101578162466,0.0247836753783,0.107163216072,-0.2353596,-9.60267168,-0.09414384
1474475389987037916,520,1474475389891694778,imu,-0.0144,0.3732,-0.198,0.134390352404,0.0450294947015,0.121125850088,-0.43933792,-9.4536106,-0.05491724
1474475390087623921,521,1474475389994215866,imu,-0.009,0.3726,-0.2041,0.142418866963,0.0581194640914,0.1315978256,-0.65900688,-9.40653868,0.0
1474475390188242182,522,1474475390091558705,imu,-0.0037,0.3713,-0.2095,0.130550628049,0.0589921287174,0.127409035396,-0.83944924,-9.34377612,0.0784532
1474475390288978368,523,1474475390188927625,imu,0.002,0.37,-0.215,0.107512281923,0.053407075111,0.117984257435,-1.00420096,-9.414384,0.1176798
1474475390389432870,524,1474475390295385614,imu,0.0075,0.3692,-0.2192,0.0748746249106,0.0432841654495,0.10978120995,-1.07480884,-9.50852784,0.14121576
1474475390479965820,525,1474475390388669010,imu,0.012,0.3682,-0.223,0.0439822971503,0.0356047167407,0.100530964915,-1.12972608,-9.610517,0.1569064
1474475390580632949,526,1474475390486410299,imu,0.017,0.3692,-0.2251,0.0013962634016,0.0254818070791,0.0851720674973,-1.14541672,-9.69681552,0.196133
1474475390681221465,527,1474475390584091180,imu,0.0188,0.369,-0.2255,-0.0275762021815,0.0261799387799,0.0593411945678,-1.11403544,-9.7674234,0.18828768
1474475390781825398,528,1474475390686655731,imu,0.0215,0.3716,-0.2243,-0.0614355896702,0.0363028484415,0.0366519142919,-1.0198916,-9.83803128,0.196133
1474475390882411741,529,1474475390784672497,imu,0.0241,0.3735,-0.2217,-0.0869173967493,0.0544542726622,0.0169296937443,-0.980665,-9.83803128,0.17259704
1474475390983014317,530,1474475390882523433,imu,0.0257,0.3749,-0.219,-0.0991347015133,0.0537561409614,-0.00558505360638,-1.05127288,-9.86156724,0.0784532
1474475391083542463,531,1474475390985176719,imu,0.0256,0.3772,-0.2161,-0.0928515162061,0.058643062867,-0.0457276264023,-1.24740588,-9.9243298,0.0392266
1474475391174086562,532,1474475391082961583,imu,0.0258,0.3793,-0.2132,-0.067369709127,0.0410152374219,-0.073478361509,-1.38077632,-9.95571108,-0.02353596
1474475391274688669,533,1474475391180699476,imu,0.0229,0.3786,-0.2112,-0.0432841654495,0.0240855436775,-0.0980875039621,-1.40431228,-10.01847364,-0.0784532
1474475391375361770,534,1474475391278369191,imu,0.0196,0.3789,-0.2096,-0.0143116998664,0.0181514242207,-0.0932005820565,-1.28663248,-10.05770024,-0.07060788
1474475391475923902,535,1474475391381056917,imu,0.0172,0.3782,-0.2086,-0.0111701072128,0.0165806278939,-0.0802851455917,-1.1375714,-10.01847364,-0.10983448
1474475391576516400,536,1474475391478979349,imu,0.0142,0.3768,-0.2084,-0.0275762021815,0.0403171057211,-0.0738274273594,-0.9414384,-9.9243298,-0.09414384
1474475391677072518,537,1474475391576679951,imu,0.0135,0.3773,-0.2084,-0.0338593874887,0.0527089434102,-0.0778416846389,-0.76099604,-9.87725788,-0.16475172
1474475391777656429,538,1474475391679291735,imu,0.0119,0.3773,-0.2074,-0.0321140582367,0.067369709127,-0.0921533845053,-0.65900688,-9.81449532,-0.2353596
1474475391868180023,539,1474475391777700936,imu,0.0099,0.3763,-0.2075,-0.0174532925199,0.0729547627334,-0.0886627260013,-0.5491724,-9.78311404,-0.26674088
1474475391968799042,540,1474475391874342762,imu,0.0077,0.3769,-0.2047,0.0125663706144,0.067369709127,-0.0755727566114,-0.43933792,-9.7674234,-0.29027684
1474475392069381684,541,1474475391971882783,imu,0.0071,0.375,-0.2076,0.0408407044967,0.0685914396034,-0.0420624349731,-0.53348176,-9.80665,-0.18828768
1474475392169973058,542,1474475392074165915,imu,0.007,0.3727,-0.2109,0.070860367631,0.0677187749774,-0.0108210413624,-0.5099458,-9.82234064,-0.16475172
1474475392270590317,543,1474475392171727973,imu,0.0079,0.3716,-0.214,0.0774926187885,0.0523598775598,0.00802851455917,-0.50210048,-9.78311404,-0.18044236
1474475392371162413,544,1474475392270318186,imu,0.01,0.3706,-0.2173,0.0565486677646,0.0397935069455,0.0207694180987,-0.55701772,-9.71250616,-0.18828768
1474475392461705651,545,1474475392372128989,imu,0.011,0.369,-0.219,0.0132645023152,0.0261799387799,0.0286233997327,-0.61193496,-9.6497436,0.04707192
1474475392562304044,546,1474475392469575021,imu,0.0127,0.3695,-0.2192,-0.0282743338823,0.0254818070791,0.0268780704807,-0.5099458,-9.65758892,0.01569064
1474475392662977609,547,1474475392566974724,imu,0.0145,0.3714,-0.2182,-0.0642281164734,0.0401425727959,0.0286233997327,-0.54132708,-9.73604212,0.05491724
1474475392763523106,548,1474475392666116491,imu,0.0178,0.373,-0.2168,-0.0694641042294,0.0642281164734,0.048171087355,-0.48640984,-9.82234064,0.03138128
1474475392864134952,549,1474475392766348798,imu,0.02,0.3751,-0.2154,-0.0453785605519,0.0830776723949,0.0659734457254,-0.53348176,-9.94786576,-0.03138128
1474475392954659427,550,1474475392863868041,imu,0.0231,0.3763,-0.2156,-0.0143116998664,0.0886627260013,0.0876155284501,-0.68254284,-9.99493768,-0.05491724
1474475393065297380,551,1474475392961512330,imu,0.0283,0.3779,-0.2159,0.0129154364648,0.0764454212374,0.102450827092,-0.8629852,-10.03416428,-0.0392266
1474475393155787272,552,1474475393065117489,imu,0.0345,0.3786,-0.2164,0.0436332312999,0.0572467994654,0.0921533845053,-1.04342756,-10.03416428,-0.04707192
1474475393256486634,553,1474475393161943324,imu,0.039,0.3783,-0.2193,0.0471238898038,0.0233874119767,0.0738274273594,-1.22386992,-9.97924704,-0.01569064
1474475393357083079,554,1474475393259977332,imu,0.0415,0.3776,-0.2217,0.0474729556542,-0.00820304748437,0.0467748239534,-1.31801376,-9.9243298,-0.0392266
1474475393457663442,555,1474475393362892359,imu,0.0421,0.3765,-0.2231,0.0331612557879,-0.0310668606855,0.00820304748437,-1.27094184,-9.75957808,-0.02353596
1474475393558363149,556,1474475393461950703,imu,0.0421,0.3764,-0.2239,0.013962634016,-0.0363028484415,-0.0178023583703,-1.12188076,-9.66543424,-0.02353596
1474475393648870530,557,1474475393561870595,imu,0.0404,0.3755,-0.2238,0.00383972435439,-0.0226892802759,-0.0310668606855,-0.96497436,-9.55559976,-0.05491724
1474475393759513286,558,1474475393654706059,imu,0.039,0.3749,-0.2248,0.00872664625997,0.00820304748437,-0.0328121899375,-0.83160392,-9.48499188,-0.06276256
1474475393850038520,559,1474475393757522437,imu,0.0381,0.3757,-0.2251,0.013962634016,0.0548033385126,-0.0219911485751,-0.76099604,-9.4928372,-0.10198916
1474475393950716063,560,1474475393856074603,imu,0.0393,0.3749,-0.226,0.0200712863979,0.0668461103514,-0.00488692190558,-0.79237732,-9.5712904,-0.0784532
1474475394051302410,561,1474475393952072888,imu,0.0409,0.3743,-0.2267,0.0254818070791,0.0788888821901,-0.00453785605519,-0.77668668,-9.69681552,-0.08629852
1474475394151889449,562,1474475394054335226,imu,0.0421,0.3728,-0.2285,0.0293215314335,0.0631809189222,-0.00872664625997,-0.76099604,-9.8458766,-0.08629852
1474475394242389354,563,1474475394151976886,imu,0.0429,0.3728,-0.2305,0.046425758103,0.0408407044967,-0.0268780704807,-0.75315072,-9.90863916,-0.08629852
1474475394342966988,564,1474475394249459604,imu,0.0433,0.372,-0.232,0.0408407044967,0.0275762021815,-0.0520108117094,-0.69823348,-9.95571108,-0.00784532
1474475394444080513,565,1474475394347069760,imu,0.0423,0.3704,-0.2337,0.0387463093943,0.0165806278939,-0.0764454212374,-0.71392412,-9.8851032,0.02353596
1474475394544611433,566,1474475394449564495,imu,0.0398,0.369,-0.2356,0.0183259571459,0.0244346095279,-0.0774926187885,-0.72176944,-9.77526872,0.12552512
1474475394645205908,567,1474475394547094098,imu,0.0373,0.3682,-0.237,-0.0143116998664,0.0471238898038,-0.053407075111,-0.79237732,-9.6889702,0.12552512
1474475394745787553,568,1474475394644833185,imu,0.0377,0.368,-0.236,-0.0439822971503,0.0548033385126,-0.00925024503557,-0.85513988,-9.72035148,0.10198916
1474475394846382267,569,1474475394747692034,imu,0.0389,0.369,-0.2346,-0.0680678408278,0.0712094334814,0.0233874119767,-0.91005712,-9.78311404,0.03138128
1474475394936921181,570,1474475394844801079,imu,0.0411,0.3717,-0.2323,-0.0701622359302,0.0748746249106,0.0345575191895,-0.91790244,-9.82234064,0.02353596
1474475395037582555,571,1474475394942936560,imu,0.0439,0.3732,-0.2303,-0.0420624349731,0.0617846555206,0.0160570291183,-0.9414384,-9.8851032,-0.00784532
1474475395138441791,572,1474475395040149454,imu,0.0458,0.3747,-0.2296,-0.000698131700798,0.0401425727959,-0.00820304748437,-0.84729456,-9.79880468,-0.05491724
1474475395239048897,573,1474475395143038255,imu,0.0469,0.3734,-0.2304,0.0324631240871,0.0240855436775,-0.00593411945678,-0.77668668,-9.82234064,-0.02353596
1474475395329514639,574,1474475395240040146,imu,0.0471,0.3727,-0.2315,0.0598647933434,0.0191986217719,0.00977384381117,-0.77668668,-9.71250616,-0.1176798
1474475395440261029,575,1474475395337368391,imu,0.0481,0.3712,-0.2341,0.0565486677646,0.0258308729295,0.0296705972839,-0.76099604,-9.71250616,-0.10983448
1474475395530789518,576,1474475395439790158,imu,0.0504,0.3704,-0.2359,0.0328121899375,0.0420624349731,0.0488692190558,-0.75315072,-9.65758892,-0.07060788
1474475395631414051,577,1474475395537206841,imu,0.0525,0.37,-0.2375,-0.0132645023152,0.0541052068118,0.0520108117094,-0.81591328,-9.65758892,-0.04707192
1474475395731968794,578,1474475395634983048,imu,0.0558,0.3719,-0.2372,-0.060388392119,0.0705113017806,0.048171087355,-0.87083052,-9.72035148,-0.06276256
1474475395832530190,579,1474475395732338089,imu,0.0596,0.3733,-0.2349,-0.0945968454581,0.0624827872214,0.0425860337487,-0.92574776,-9.83803128,-0.05491724
1474475395923066119,580,1474475395834450772,imu,0.0624,0.3765,-0.2316,-0.107512281923,0.0417133691227,0.0289724655831,-1.03558224,-10.01062832,-0.12552512
1474475396023686742,581,1474475395932567564,imu,0.0635,0.3774,-0.228,-0.0980875039621,0.0207694180987,0.00698131700798,-1.0983448,-10.20676132,-0.21182364
1474475396124456646,582,1474475396030330467,imu,0.0651,0.3802,-0.2247,-0.0649262481742,-0.00488692190558,-0.012217304764,-1.0983448,-10.32444112,-0.28243152
1474475396225025130,583,1474475396133495258,imu,0.0633,0.3812,-0.2219,-0.013962634016,-0.0261799387799,-0.0303687289847,-1.05127288,-10.30090516,-0.30596748
1474475396325526168,584,1474475396231010636,imu,0.0622,0.3813,-0.2225,0.0417133691227,-0.0279252680319,-0.0408407044967,-0.9022118,-10.19107068,-0.26674088
1474475396426115093,585,1474475396328789765,imu,0.0594,0.3791,-0.2238,0.0869173967493,-0.00733038285838,-0.0523598775598,-0.80022264,-10.002783,-0.196133
1474475396526707430,586,1474475396431427797,imu,0.0588,0.377,-0.2273,0.115191730632,0.0328121899375,-0.0380481776935,-0.85513988,-9.79880468,-0.12552512
1474475396627260478,587,1474475396529165131,imu,0.0589,0.3751,-0.2319,0.108210413624,0.0589921287174,-0.0191986217719,-0.97281968,-9.61836232,-0.04707192
1474475396717776258,588,1474475396626264067,imu,0.0587,0.3725,-0.236,0.0836012711705,0.0808087443673,-0.00506145483078,-1.09049948,-9.54775444,0.0392266
1474475396818378858,589,1474475396724058997,imu,0.0606,0.3696,-0.24,0.0439822971503,0.0851720674973,0.00872664625997,-1.12972608,-9.50068252,0.1176798
1474475396918942068,590,1474475396826616305,imu,0.0628,0.3703,-0.2414,0.000698131700798,0.074351026135,0.00558505360638,-1.09049948,-9.50852784,0.12552512
1474475397019527223,591,1474475396924461920,imu,0.0651,0.37,-0.241,-0.0244346095279,0.0541052068118,-0.0164060949687,-1.01204628,-9.4928372,0.05491724
1474475397120064179,592,1474475397023849230,imu,0.065,0.3709,-0.2408,-0.0268780704807,0.0387463093943,-0.046425758103,-0.83944924,-9.48499188,0.0
1474475397220668430,593,1474475397126336247,imu,0.0643,0.3715,-0.2401,-0.013962634016,0.0223402144255,-0.0541052068118,-0.63547092,-9.53990912,-0.08629852
1474475397311196683,594,1474475397222103620,imu,0.0631,0.3704,-0.2399,0.014835298642,0.0314159265359,-0.0425860337487,-0.47856452,-9.59482636,-0.03138128
1474475397411795474,595,1474475397319664368,imu,0.0621,0.3708,-0.2403,0.0359537825911,0.0340339204139,-0.00558505360638,-0.47856452,-9.6889702,-0.06276256
1474475397512350726,596,1474475397417026190,imu,0.0626,0.3703,-0.2419,0.0474729556542,0.0415388361975,0.0333357887131,-0.53348176,-9.75173276,-0.0392266
1474475397612937169,597,1474475397519271701,imu,0.0652,0.3693,-0.2446,0.0474729556542,0.0478220215046,0.0561996019142,-0.65116156,-9.78311404,-0.06276256
1474475397713481625,598,1474475397616740435,imu,0.0673,0.3681,-0.2462,0.0356047167407,0.0315904594611,0.0607374579694,-0.72176944,-9.79880468,0.03138128
1474475397814068061,599,1474475397716592598,imu,0.0715,0.3673,-0.247,0.0143116998664,0.0198967534727,0.0537561409614,-0.80022264,-9.75173276,0.04707192
1474475397904588878,600,1474475397816102614,imu,0.0736,0.368,-0.2483,-0.0111701072128,0.0102974425868,0.0410152374219,-0.8237586,-9.75957808,0.04707192
1474475398005186526,601,1474475397913450029,imu,0.0753,0.3678,-0.2473,-0.0478220215046,0.00767944870878,0.0359537825911,-0.87083052,-9.77526872,0.02353596
1474475398105772992,602,1474475398010856653,imu,0.0781,0.3696,-0.2458,-0.0685914396034,0.0165806278939,0.0397935069455,-0.88652116,-9.7281968,-0.01569064
1474475398206380791,603,1474475398108347059,imu,0.0794,0.3717,-0.2425,-0.0872664625997,0.0265290046303,0.046425758103,-0.9022118,-9.68112488,-0.06276256
1474475398307051439,604,1474475398210508885,imu,0.0823,0.3732,-0.2398,-0.0799360797413,0.0363028484415,0.0457276264023,-1.02773692,-9.67327956,-0.10198916
1474475398397582821,605,1474475398308247317,imu,0.084,0.3758,-0.2366,-0.0561996019142,0.0286233997327,0.0310668606855,-1.06696352,-9.7674234,-0.1569064
1474475398508352357,606,1474475398406494547,imu,0.0859,0.3763,-0.2341,0.00349065850399,0.0143116998664,0.00994837673637,-1.12188076,-9.8851032,-0.17259704
1474475398598960215,607,1474475398509151654,imu,0.0866,0.376,-0.2352,0.0771435529381,-0.00279252680319,-0.00907571211037,-1.03558224,-10.01847364,-0.13337044
1474475398699614482,608,1474475398606769684,imu,0.0855,0.3743,-0.2394,0.138579142608,-0.00872664625997,-0.014835298642,-0.99635564,-10.05770024,-0.10983448
1474475398800247881,609,1474475398704889631,imu,0.0853,0.3708,-0.2451,0.172089464247,-0.00733038285838,-0.00733038285838,-0.88652116,-10.06554556,-0.04707192
1474475398900840196,610,1474475398802624033,imu,0.086,0.3673,-0.25,0.152541776624,0.0111701072128,-0.0013962634016,-0.80022264,-9.97924704,0.37657536
1474475399001426177,611,1474475398905229825,imu,0.0878,0.3653,-0.2612,0.0825540736193,0.0204203522483,0.0314159265359,-1.23171524,-9.81449532,0.1176798
1474475399102056850,612,1474475399003066146,imu,0.0914,0.3649,-0.2598,0.00191986217719,0.0226892802759,0.012217304764,-1.16110736,-9.65758892,-0.17259704
1474475399202665773,613,1474475399100708684,imu,0.0948,0.3684,-0.2599,-0.0624827872214,0.0118682389136,-0.014835298642,-0.58055368,-8.81029436,0.49425516
