%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1474475389101873610,333,1474475389102930068,sparus2,-0.00288029733456,0.0311337726207,0.944615520832,0.32668625605,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.113905016026,-0.0523778179778,0.0869262706242,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.352590620795,-0.682846913251,-10.1181648929,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389202440723,334,1474475389205869913,sparus2,-0.000986697866662,0.0248894900931,0.945021112161,0.326059254246,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.105615980906,-0.0755168802168,0.0418684201053,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.293929845483,-0.567902063481,-10.1893927537,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389303065930,335,1474475389302480936,sparus2,0.00219386756384,0.0197246967419,0.944930402778,0.326669033103,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0786664748474,-0.0988111327162,0.014523197262,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.185337768606,-0.351912167418,-10.1748199577,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389393561745,336,1474475389399935960,sparus2,0.00643444804143,0.0160491283633,0.944930009439,0.326815392261,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0378108430361,-0.109299190948,0.022596118388,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.114069240323,-0.159206018263,-10.1283226561,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389494136048,337,1474475389498140096,sparus2,0.0107613322683,0.0140531154609,0.944894060211,0.32689741304,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.00310066121601,-0.100468944873,0.0257469152864,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.066307961914,-0.0980165308998,-10.0818390028,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389594732794,338,1474475389596304893,sparus2,0.0136341768116,0.0141582807463,0.945134990468,0.326088181482,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0297810259204,-0.0583887309717,0.0438300279392,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0222095926941,-0.0520841432733,-10.0353416563,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389695311164,339,1474475389698082923,sparus2,0.0136004094235,0.0157526479301,0.945057877275,0.326239929419,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0466735486036,0.00365999890958,0.0494982856197,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0244639993592,-0.0676019527847,-9.94904133196,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389795902151,340,1474475389797895908,sparus2,0.010911580892,0.0195470063208,0.944980139042,0.326360826024,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0714206211097,0.0714795315395,0.054535566396,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.072174862121,-0.144735865654,-9.76802835554,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389886436795,341,1474475389893438100,sparus2,0.00629708293937,0.025046487417,0.945544916755,0.324465453653,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0832041944922,0.126940739044,0.0650636086464,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.120141816251,-0.221822376747,-9.60270385751,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475389997096724,342,1474475389998631000,sparus2,2.9482110342e-05,0.0318632443753,0.946397388838,0.321429176007,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0890131144871,0.161891389338,0.0852922424572,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.203464158908,-0.411458420057,-9.45283509812,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390087623921,343,1474475390093422889,sparus2,-0.00609100221134,0.0389988610489,0.947250359073,0.318054627014,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0973576997657,0.171985689509,0.0983454957518,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.307368961124,-0.612380823492,-9.40466767382,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390188242182,344,1474475390190427064,sparus2,-0.0115602165446,0.0459650362517,0.947997656784,0.314728485473,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0962041880022,0.159408440897,0.0989691990471,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.424742833712,-0.769713937272,-9.34045588244,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390288978368,345,1474475390296792984,sparus2,-0.0162901485359,0.0530363926656,0.948710705796,0.311239086269,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0926045967951,0.134715991441,0.0932226181651,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.502493182548,-0.920543606359,-9.41026005343,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390389432870,346,1474475390392962932,sparus2,-0.0189255702495,0.058709080601,0.949154078094,0.308709576599,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0923261044839,0.101009778882,0.0831894838158,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.543395256824,-0.983422202421,-9.50393918247,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390490022591,347,1474475390489173889,sparus2,-0.0199052867949,0.0638494952436,0.949161364414,0.307603195397,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0905505443702,0.0687820222972,0.0755559808964,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.573134989356,-1.03285131189,-9.60560628451,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390580632949,348,1474475390585320949,sparus2,-0.0190725980768,0.0678683813375,0.949176154413,0.306748670268,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0855248016051,0.0238852987671,0.0654049797108,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.61634379226,-1.0386911317,-9.69122901947,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390681221465,349,1474475390687935113,sparus2,-0.0169456964499,0.070428971189,0.949405855159,0.305583254743,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.066943245128,-0.0103108635192,0.0657887073477,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.6025429068,-1.00979493826,-9.7619845992,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390781825398,350,1474475390785840988,sparus2,-0.0135587759406,0.0712599434384,0.949936382842,0.303906315513,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0522907879838,-0.0484690588257,0.0757397478505,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.589345341057,-0.916207717811,-9.83253487065,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390882411741,351,1474475390883713960,sparus2,-0.0091504603785,0.0709140640604,0.950816450165,0.301389353975,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.038613219467,-0.0777983998174,0.0935910320001,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.557305633369,-0.883558910559,-9.83295922545,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475390983014317,352,1474475390986372947,sparus2,-0.00399308500184,0.0696239723398,0.951726543425,0.298919963012,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0197213804537,-0.0948933077884,0.092340288417,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.482643122917,-0.974120525069,-9.85799081053,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391083542463,353,1474475391084098100,sparus2,0.000413110910855,0.0670516620823,0.952469895742,0.297161575001,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0203956445799,-0.0980214787666,0.0958810822937,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.491316462068,-1.17380123482,-9.92122376171,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391174086562,354,1474475391181935071,sparus2,0.0035345072531,0.0635778869531,0.95331348009,0.295192764525,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0526361763729,-0.0796127047033,0.0773338133084,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.46194354701,-1.31804229127,-9.95352465077,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391274688669,355,1474475391279733896,sparus2,0.00537123530999,0.059140497947,0.953914883222,0.294142732192,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0816835977496,-0.0618909314217,0.0596624875496,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.4150699286,-1.35355753197,-10.0171683085,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391375361770,356,1474475391382174015,sparus2,0.00577554147413,0.0547661257351,0.954461447837,0.293207536031,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0836615482996,-0.0325379416586,0.0536509912127,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.395865816337,-1.23717946547,-10.0563621631,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391475923902,357,1474475391480712890,sparus2,0.00605770375948,0.0511400905227,0.954926794651,0.292340233673,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0719353191854,-0.0265349087269,0.0523678364908,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.322290559426,-1.10151209257,-10.0179212556,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474475391576516400,358,1474475391577939987,sparus2,0.00699710077698,0.0476073992753,0.955273484077,0.291782704653,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0624670242848,-0.0410119139236,0.0762588729978,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.290222602825,-0.907420128464,-9.92370146941,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
