%time,field.data
1474475501794195644,33.3333358765
1474475503345111830,42.8571434021
1474475504799126944,50.0
1474475507241579691,55.555557251
1474475508649380334,60.0000038147
1474475510099554131,63.6363639832
1474475511395841943,66.6666717529
1474475512827745718,69.2307739258
1474475515187824119,71.4285736084
1474475516629679052,73.3333358765
1474475517961175668,75.0
1474475519383572812,76.4705886841
1474475520758813601,77.7777786255
1474475522899977540,78.9473724365
1474475524350999977,80.0
1474475525743527121,80.9523849487
1474475527390766053,81.8181838989
1474475528738636618,82.6086959839
1474475531700731970,83.3333282471
1474475534277210731,84.0
1474475535721799390,84.6153869629
1474475537342160085,85.1851882935
1474475539199340581,85.7142868042
1474475540564190461,86.2068939209
1474475541976786961,86.6666641235
1474475543364884035,87.0967712402
1474475544653167402,87.5
1474475547613392290,87.8787841797
1474475550397679984,88.2352981567
1474475551779796765,88.5714263916
1474475553437148228,88.8888931274
1474475554868349612,89.1891860962
1474475556400142863,89.4736862183
1474475557819991766,89.7435913086
1474475560457751221,90.0
1474475561844030990,90.2438964844
1474475563352029848,90.4761886597
1474475564768958982,90.6976776123
1474475566377858179,90.9090957642
1474475568276988251,91.111114502
1474475569649112630,91.3043518066
1474475572328484411,91.489364624
1474475573700011723,91.6666717529
1474475577067364136,91.836730957
1474475578379135345,92.0
1474475579812892854,92.1568603516
1474475581319040567,92.3076934814
1474475582747811254,92.4528274536
1474475584336570335,92.592590332
1474475586194493312,92.7272720337
1474475588990366221,92.8571395874
1474475591230189424,92.982460022
1474475592684497601,93.1034469604
1474475602477732853,91.6666717529
1474475604387256850,91.803276062
1474475605771263670,91.9354858398
1474475607365905136,92.0634918213
1474475608764729646,92.1875
1474475610375391558,92.3076934814
1474475612293333384,92.4242401123
1474475613718873570,92.5373153687
1474475616343271303,92.6470565796
1474475617733273232,92.7536239624
1474475620461545039,92.8571395874
1474475621903621469,92.9577484131
1474475623351187664,93.055557251
1474475627744129733,93.1506881714
1474475629884034076,93.2432403564
1474475631311375474,93.3333358765
1474475632689476380,93.4210510254
1474475636384097510,93.5064926147
1474475637793792278,93.5897445679
1474475640488715428,93.6708831787
1474475641759404479,93.75
1474475643666330853,93.8271560669
1474475644984373698,93.9024353027
1474475646333482499,93.9758987427
1474475647767073184,94.0476150513
1474475649356928982,94.1176452637
1474475651276847179,94.1860427856
1474475655359582488,93.1818161011
1474475656729819336,93.258430481
1474475658373427426,93.3333358765
1474475660272101658,93.4065933228
1474475661705335079,93.478263855
1474475664322490360,93.5483856201
1474475669320066086,91.6666717529
1474475670701194731,91.7525787354
1474475672392605311,91.836730957
1474475673706442035,91.9191894531
1474475676179861875,92.0
1474475677462401334,93.0
1474475678845307329,94.0
1474475680360287851,94.0
1474475681747893388,95.0
1474475683339446909,96.0
1474475685285281493,96.0
1474475686703409106,96.0
1474475689338109027,96.0
1474475690681178741,96.0
1474475693604908018,96.0
1474475694967762481,96.0
1474475696314468059,96.0
1474475697696273785,96.0
1474475701062049054,96.0
1474475702497819326,96.0
1474475703837886919,96.0
1474475705377454803,96.0
1474475710219906664,95.0
1474475711594809380,95.0
1474475713029023912,95.0
1474475714349424798,95.0
1474475718515192610,94.0
1474475721347357037,93.0
1474475722714521554,93.0
1474475724369997286,93.0
1474475727604346373,92.0
1474475728958976043,92.0
1474475730414308887,92.0
1474475731829064391,92.0
1474475734127153032,92.0
1474475735428027110,92.0
1474475736792923098,92.0
1474475742824779990,90.0
1474475745150235674,90.0
1474475746494679040,90.0
1474475747824539697,90.0
1474475751378064459,89.0
1474475755731978779,87.0
1474475757327461223,87.0
1474475759252961502,87.0
1474475760607112786,87.0
1474475763253055386,87.0
1474475764596306602,87.0
1474475768136058629,87.0
1474475769530791893,87.0
1474475770956567377,87.0
1474475772391691309,87.0
1474475773702514979,87.0
1474475775737030147,87.0
1474475777292670556,88.0
1474475778659600950,88.0
1474475783614420985,87.0
1474475784895222307,87.0
1474475787786042536,86.0
1474475789366956055,86.0
1474475792093569444,86.0
1474475794821892692,85.0
1474475796291179075,85.0
1474475797705905613,85.0
1474475801046839629,85.0
1474475802472832654,85.0
1474475803879049634,85.0
1474475805325384531,85.0
1474475806783405977,85.0
1474475809445533806,85.0
1474475810987909946,85.0
1474475812309198689,85.0
1474475813765599037,85.0
1474475815375563345,85.0
1474475817266143693,85.0
1474475818721767086,85.0
1474475821712283235,84.0
1474475828360108218,82.0
1474475829786241505,82.0
1474475831376238869,82.0
1474475833406548932,82.0
1474475836356025028,82.0
1474475841948305521,82.0
1474475844128542087,82.0
1474475848384400155,80.0
1474475851355918895,80.0
1474475854063725507,80.0
1474475855398468898,80.0
1474475859568968885,79.0
1474475873381194273,73.0
1474475876647893930,72.0
1474475881690589104,72.0
1474475895117633423,70.0
1474475898533387912,70.0
1474475914789731996,66.0
1474475918257165612,66.0
1474475926803643206,63.0
1474475932458120663,61.0
1474475935742717630,62.0
1474475937371430228,62.0
1474475938765947316,62.0
1474475946669173273,61.0
1474475948088460843,61.0
1474475952311066998,62.0
1474475956678251936,60.0000038147
1474475959998312734,60.0000038147
1474475962730392231,58.9999961853
1474475964385959194,58.9999961853
1474475965752780054,58.9999961853
1474475972810676815,56.0
1474475978195149678,55.0
1474475979531013391,56.0
1474475981005199862,56.0
1474475990656857498,52.9999961853
1474475993563819670,54.0000038147
1474475996396784434,54.0000038147
1474475999143674344,54.0000038147
1474476001876155390,54.0000038147
1474476005587763420,52.9999961853
1474476009279877646,52.9999961853
1474476010685709423,52.9999961853
1474476014337127246,52.0
1474476017157127693,52.0
1474476026256903494,48.0
1474476027677181992,49.0
1474476030425654637,49.0
1474476037923968704,49.0
1474476040801694690,48.0
1474476046384377310,47.0
1474476047820188752,48.0
1474476049358328514,48.0
1474476050844865373,48.0
1474476052323183246,49.0
1474476053722566403,50.0
1474476055340739859,50.0
1474476058746601293,49.0
1474476060370130209,49.0
1474476086427660222,47.0
1474476087829357529,47.0
1474476089377536081,48.0
1474476090840787563,49.0
1474476093196304572,50.0
1474476095984393965,50.0
1474476100280741356,50.0
1474476101776647286,51.0
1474476113936027164,52.0
1474476115355961127,52.9999961853
1474476116827965667,54.0000038147
1474476132972228099,54.0000038147
1474476137482677611,54.0000038147
1474476161313468971,52.9999961853
1474476166297886633,52.9999961853
