%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1474475401135045560,0,1474475400918411571,left_optical,-0.0716971597745,-0.0975831247005,-0.0450296005569,0.0180511336192,-0.0486695592146,-0.0980409279734,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475401316114103,1,1474475401051706264,left_optical,-0.0237621760345,-0.149080480945,-0.0672197045834,0.0165561577428,-0.0565924486135,-0.0893731841014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475401477672875,2,1474475401184891033,left_optical,0.00199663736526,-0.170255239504,-0.10297058737,0.0194610025627,-0.045526199826,-0.07070384596,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475401658727314,3,1474475401318445398,left_optical,-0.00467997917097,-0.132559783856,-0.111261489867,0.0420007964055,-0.0124868606513,-0.0549031357167,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475401839830131,4,1474475401451686891,left_optical,0.0142228403815,-0.199137648192,-0.138810355472,0.0294515833423,0.0164871253455,-0.0412630803457,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402010806290,5,1474475401587238992,left_optical,0.00438854344123,-0.201780974708,-0.123664620001,0.0268021444255,0.0413272267078,-0.0492704239922,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402191808495,6,1474475401851759510,left_optical,-0.068820213645,-0.193364172512,-0.0586198417471,0.0260034991672,0.084886967287,-0.0892772134347,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402352748264,7,1474475401985059420,left_optical,-0.128084282962,-0.176793936658,-0.0133171013359,0.0104967279411,0.120686294693,-0.115752674713,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402544507480,8,1474475402118497462,left_optical,-0.112130283249,-0.188805675317,0.0243965120552,-0.00786387410799,0.119672253894,-0.124960930503,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402705539697,9,1474475402385215906,left_optical,-0.0611807898527,-0.145291138602,0.0689507789563,-0.00681992139024,0.0920445243987,-0.0962123548632,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475402876553532,10,1474475402518320157,left_optical,-0.0146787453252,-0.152706609462,0.133881656804,-0.0219236851389,0.0298703062939,-0.0443968142909,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403047534239,11,1474475402651671857,left_optical,0.0233123315641,-0.109528528383,0.126533842741,-0.0406071734216,-0.0323203390398,-0.0350210126836,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403228556384,12,1474475402785176854,left_optical,0.0489687609762,-0.134053789693,0.157278099375,-0.0781423837801,-0.0755680367159,-0.0753593068227,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403399639954,13,1474475403051722138,left_optical,0.00155263644597,-0.10168609917,0.157106342548,-0.0715595903947,-0.0869565848045,-0.141930840634,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403580706622,14,1474475403185122406,left_optical,-0.00439452670309,-0.115110589574,0.124381604943,-0.0731998532663,-0.0945006403354,-0.138164164575,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403741686370,15,1474475403318321919,left_optical,0.0236814601257,-0.0820435765977,0.120544272165,-0.0810934778555,-0.107281444401,-0.110250641287,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475403912697342,16,1474475403585157743,left_optical,-0.0137345017448,-0.074508581734,0.0538566321718,-0.088362144801,-0.105375641412,-0.102003903194,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404063609827,17,1474475403718309577,left_optical,-0.062851027199,-0.0799286625095,-0.0127957489798,-0.0480485976192,-0.0531665290973,-0.104274188054,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404225402616,18,1474475403851629328,left_optical,-0.0616521531969,-0.0988757611786,-0.0851200916461,-0.00174010607136,-0.0081013708951,-0.129627267237,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404426573384,19,1474475403985753364,left_optical,-0.0810168714894,-0.0975439160887,-0.132799587228,0.0394925435381,0.0199861006793,-0.0997810840741,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404587502452,20,1474475404251634044,left_optical,-0.055735100777,-0.141661970721,-0.0920922025442,0.0298675908649,0.027364632733,-0.0890140598333,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404758566557,21,1474475404385053000,left_optical,-0.0661107332518,-0.134528191783,-0.0881699779448,0.0127995511802,0.08146413113,-0.1095763815,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475404929834164,22,1474475404518287857,left_optical,-0.141060448553,-0.117396451925,-0.106807831155,0.0167622147388,0.160965178567,-0.135053099724,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1474475405100877263,23,1474475404785010988,left_optical,-0.179047587131,-0.140615765522,-0.105832417131,0.0100978219069,0.191148211047,-0.138588557146,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.12
