%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1474475398649347905,1,1474475398653748989,map,waypoint,0,2,0,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475492656656006,2,1474475492657151937,map,waypoint,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475492676779169,3,1474475492674772024,map,waypoint,1,2,0,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475501877205024,4,1474475501876671075,map,waypoint,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475501887266563,5,1474475501894088029,map,waypoint,1,2,0,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475592089567397,6,1474475592098171949,map,waypoint,2,2,0,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475662496800028,7,1474475662499528884,map,waypoint,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475662531637380,8,1474475662534553050,map,waypoint,2,2,0,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475752732410334,9,1474475752737968921,map,waypoint,3,2,0,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475795836564202,10,1474475795839219093,map,waypoint,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475795867633475,11,1474475795872931957,map,waypoint,3,2,0,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475886075709248,12,1474475886077236890,map,waypoint,4,2,0,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474475930674704130,13,1474475930678805112,map,waypoint,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474475930735066608,14,1474475930744302034,map,waypoint,4,2,0,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476020943018116,15,1474476020949197053,map,waypoint,5,2,0,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476067649107522,16,1474476067650336027,map,waypoint,5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
1474476067679293824,17,1474476067683372974,map,waypoint,5,2,0,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.01,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476157885811346,18,1474476157887304067,map,waypoint,6,2,0,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.5,600000000000,0,,,0
1474476164586207669,19,1474476164588790893,map,waypoint,6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0
