%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475390562192129,1202,1474475390638225320,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475391517801114,1203,1474475391589012366,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475392503630144,1204,1474475392569448841,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475393510113183,1205,1474475393579258691,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475394516475705,1206,1474475394591263948,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475395552943304,1207,1474475395625124511,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475396559553254,1208,1474475396630343306,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475397505180112,1209,1474475397575260325,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475398551528984,1210,1474475398623510069,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475399497429507,1211,1474475399570334661,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475400554248628,1212,1474475400621671446,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475401570356082,1213,1474475401641803067,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475402576813921,1214,1474475402643981808,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475403553869271,1215,1474475403624490357,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475404543188176,1216,1474475404623838789,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475405539939438,1217,1474475405620053152,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
