%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1474731441392941955,10,1465245049256679058,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731442416149875,11,1465245050276272058,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731443415336204,12,1465245051278211116,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731444393886982,13,1465245052258903026,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731445391049580,14,1465245053257752895,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731446386970822,15,1465245054254187107,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731447336069639,16,1465245055199625968,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731448356794588,17,1465245056224375009,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731449342905606,18,1465245057206538915,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731450354406783,19,1465245058219667911,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731451346095302,20,1465245059213583946,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731452363417749,21,1465245060228425025,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731453373044344,22,1465245061236412048,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731454413209399,23,1465245062275635004,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731455413699272,24,1465245063276730060,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731456359346603,25,1465245064224396944,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731457400643444,26,1465245065266650915,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731458423476110,27,1465245066268981933,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731459379775654,28,1465245067225410938,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731460404718761,29,1465245068250828027,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731461385292357,30,1465245069228451967,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731462392618720,31,1465245070257478952,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731463396956881,32,1465245071257293939,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731464420224254,33,1465245072275485038,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731465397056022,34,1465245073251718044,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731466415430399,35,1465245074276559114,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731467426267821,36,1465245075280896902,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731468342076315,37,1465245076207195043,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731469346583132,38,1465245077210572957,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731470356176885,39,1465245078223824977,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731471333877668,40,1465245079199330091,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474731472350971785,41,1465245080213779926,,-21.8355278629,-38.442027324,-0.0718926674622,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
