%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475390562192129,1203,1465245039274226903,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475391517801114,1204,1465245040224850893,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475392503630144,1205,1465245041205147027,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475393510113183,1206,1465245042214751005,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475394516475705,1207,1465245043226691007,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475395552943304,1208,1465245044260427951,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475396559553254,1209,1465245045265445947,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475397495123394,1210,1465245046209943056,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475398551528984,1211,1465245047258752107,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475399497429507,1212,1465245048205431938,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475400554248628,1213,1465245049256679058,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475401570356082,1214,1465245050276272058,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475402576813921,1215,1465245051278211116,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475403553869271,1216,1465245052258903026,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475404543188176,1217,1465245053257752895,/gps,1,1,39.7178366667,2.58665833333,43.9,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
