%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475390391125223,55,1474475390398921145,gps_origin,0,1,39.71774,2.58664,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475391387015158,56,1474475391393864710,gps_origin,0,1,39.7177383333,2.58664,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475392382914048,57,1474475392383742763,gps_origin,0,1,39.7177383333,2.58664,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475393389349818,58,1474475393394207457,gps_origin,0,1,39.7177366667,2.58664166667,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475394385714914,59,1474475394392762018,gps_origin,0,1,39.7177366667,2.58664166667,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475395391830036,60,1474475395393261762,gps_origin,0,1,39.7177366667,2.58664333333,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475396398453527,61,1474475396398655693,gps_origin,0,1,39.717735,2.58664333333,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475397394547108,62,1474475397396924595,gps_origin,0,1,39.717735,2.58664333333,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475398400631073,63,1474475398406467666,gps_origin,0,1,39.7177333333,2.586645,1.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475399376507844,64,1474475399386206674,gps_origin,0,1,39.7177333333,2.586645,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475400393239611,65,1474475400395166937,gps_origin,0,1,39.7177333333,2.586645,3.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475401389289393,66,1474475401393929671,gps_origin,0,1,39.7177333333,2.586645,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475402395732984,67,1474475402397538446,gps_origin,0,1,39.7177316667,2.586645,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475403392920663,68,1474475403401855842,gps_origin,0,1,39.71773,2.586645,1.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475404390781250,69,1474475404393470276,gps_origin,0,1,39.7177283333,2.586645,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475405389023919,70,1474475405391693388,gps_origin,0,1,39.7177283333,2.58664333333,2.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475406395467561,71,1474475406395430298,gps_origin,0,1,39.7177266667,2.586645,1.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475407391632065,72,1474475407393280376,gps_origin,0,1,39.717725,2.586645,2.0,0.435,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.8,2
1474475408378970396,73,1474475408385435041,gps_origin,0,1,39.7177233333,2.586645,1.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
1474475409385901955,74,1474475409386871009,gps_origin,0,1,39.7177233333,2.58664666667,3.0,0.405,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.8,2
