%time,field.header.seq,field.header.stamp,field.header.frame_id,field.MX,field.MY,field.MZ,field.GX,field.GY,field.GZ,field.AX,field.AY,field.AZ
1474475390391125223,524,1474475390295385614,imu,0.0075,0.3692,-0.2192,0.0748746249106,0.0432841654495,0.10978120995,-1.07480884,-9.50852784,0.14121576
1474475390481724450,525,1474475390388669010,imu,0.012,0.3682,-0.223,0.0439822971503,0.0356047167407,0.100530964915,-1.12972608,-9.610517,0.1569064
1474475390582309693,526,1474475390486410299,imu,0.017,0.3692,-0.2251,0.0013962634016,0.0254818070791,0.0851720674973,-1.14541672,-9.69681552,0.196133
1474475390682916063,527,1474475390584091180,imu,0.0188,0.369,-0.2255,-0.0275762021815,0.0261799387799,0.0593411945678,-1.11403544,-9.7674234,0.18828768
1474475390783503968,528,1474475390686655731,imu,0.0215,0.3716,-0.2243,-0.0614355896702,0.0363028484415,0.0366519142919,-1.0198916,-9.83803128,0.196133
1474475390874038734,529,1474475390784672497,imu,0.0241,0.3735,-0.2217,-0.0869173967493,0.0544542726622,0.0169296937443,-0.980665,-9.83803128,0.17259704
1474475390984701517,530,1474475390882523433,imu,0.0257,0.3749,-0.219,-0.0991347015133,0.0537561409614,-0.00558505360638,-1.05127288,-9.86156724,0.0784532
1474475391075261841,531,1474475390985176719,imu,0.0256,0.3772,-0.2161,-0.0928515162061,0.058643062867,-0.0457276264023,-1.24740588,-9.9243298,0.0392266
1474475391175814924,532,1474475391082961583,imu,0.0258,0.3793,-0.2132,-0.067369709127,0.0410152374219,-0.073478361509,-1.38077632,-9.95571108,-0.02353596
1474475391276403059,533,1474475391180699476,imu,0.0229,0.3786,-0.2112,-0.0432841654495,0.0240855436775,-0.0980875039621,-1.40431228,-10.01847364,-0.0784532
1474475391376959766,534,1474475391278369191,imu,0.0196,0.3789,-0.2096,-0.0143116998664,0.0181514242207,-0.0932005820565,-1.28663248,-10.05770024,-0.07060788
1474475391477572793,535,1474475391381056917,imu,0.0172,0.3782,-0.2086,-0.0111701072128,0.0165806278939,-0.0802851455917,-1.1375714,-10.01847364,-0.10983448
1474475391568094031,536,1474475391478979349,imu,0.0142,0.3768,-0.2084,-0.0275762021815,0.0403171057211,-0.0738274273594,-0.9414384,-9.9243298,-0.09414384
1474475391678888072,537,1474475391576679951,imu,0.0135,0.3773,-0.2084,-0.0338593874887,0.0527089434102,-0.0778416846389,-0.76099604,-9.87725788,-0.16475172
1474475391769424724,538,1474475391679291735,imu,0.0119,0.3773,-0.2074,-0.0321140582367,0.067369709127,-0.0921533845053,-0.65900688,-9.81449532,-0.2353596
1474475391870023100,539,1474475391777700936,imu,0.0099,0.3763,-0.2075,-0.0174532925199,0.0729547627334,-0.0886627260013,-0.5491724,-9.78311404,-0.26674088
1474475391970588169,540,1474475391874342762,imu,0.0077,0.3769,-0.2047,0.0125663706144,0.067369709127,-0.0755727566114,-0.43933792,-9.7674234,-0.29027684
1474475392071080296,541,1474475391971882783,imu,0.0071,0.375,-0.2076,0.0408407044967,0.0685914396034,-0.0420624349731,-0.53348176,-9.80665,-0.18828768
1474475392171636754,542,1474475392074165915,imu,0.007,0.3727,-0.2109,0.070860367631,0.0677187749774,-0.0108210413624,-0.5099458,-9.82234064,-0.16475172
1474475392262177444,543,1474475392171727973,imu,0.0079,0.3716,-0.214,0.0774926187885,0.0523598775598,0.00802851455917,-0.50210048,-9.78311404,-0.18044236
1474475392362790198,544,1474475392270318186,imu,0.01,0.3706,-0.2173,0.0565486677646,0.0397935069455,0.0207694180987,-0.55701772,-9.71250616,-0.18828768
1474475392463326876,545,1474475392372128989,imu,0.011,0.369,-0.219,0.0132645023152,0.0261799387799,0.0286233997327,-0.61193496,-9.6497436,0.04707192
1474475392564407603,546,1474475392469575021,imu,0.0127,0.3695,-0.2192,-0.0282743338823,0.0254818070791,0.0268780704807,-0.5099458,-9.65758892,0.01569064
1474475392665135501,547,1474475392566974724,imu,0.0145,0.3714,-0.2182,-0.0642281164734,0.0401425727959,0.0286233997327,-0.54132708,-9.73604212,0.05491724
1474475392765681189,548,1474475392666116491,imu,0.0178,0.373,-0.2168,-0.0694641042294,0.0642281164734,0.048171087355,-0.48640984,-9.82234064,0.03138128
1474475392856245529,549,1474475392766348798,imu,0.02,0.3751,-0.2154,-0.0453785605519,0.0830776723949,0.0659734457254,-0.53348176,-9.94786576,-0.03138128
1474475392956839558,550,1474475392863868041,imu,0.0231,0.3763,-0.2156,-0.0143116998664,0.0886627260013,0.0876155284501,-0.68254284,-9.99493768,-0.05491724
1474475393067434730,551,1474475392961512330,imu,0.0283,0.3779,-0.2159,0.0129154364648,0.0764454212374,0.102450827092,-0.8629852,-10.03416428,-0.0392266
1474475393157966688,552,1474475393065117489,imu,0.0345,0.3786,-0.2164,0.0436332312999,0.0572467994654,0.0921533845053,-1.04342756,-10.03416428,-0.04707192
1474475393258571099,553,1474475393161943324,imu,0.039,0.3783,-0.2193,0.0471238898038,0.0233874119767,0.0738274273594,-1.22386992,-9.97924704,-0.01569064
1474475393359166815,554,1474475393259977332,imu,0.0415,0.3776,-0.2217,0.0474729556542,-0.00820304748437,0.0467748239534,-1.31801376,-9.9243298,-0.0392266
1474475393459795765,555,1474475393362892359,imu,0.0421,0.3765,-0.2231,0.0331612557879,-0.0310668606855,0.00820304748437,-1.27094184,-9.75957808,-0.02353596
1474475393560431260,556,1474475393461950703,imu,0.0421,0.3764,-0.2239,0.013962634016,-0.0363028484415,-0.0178023583703,-1.12188076,-9.66543424,-0.02353596
1474475393650993556,557,1474475393561870595,imu,0.0404,0.3755,-0.2238,0.00383972435439,-0.0226892802759,-0.0310668606855,-0.96497436,-9.55559976,-0.05491724
1474475393751575732,558,1474475393654706059,imu,0.039,0.3749,-0.2248,0.00872664625997,0.00820304748437,-0.0328121899375,-0.83160392,-9.48499188,-0.06276256
1474475393852405511,559,1474475393757522437,imu,0.0381,0.3757,-0.2251,0.013962634016,0.0548033385126,-0.0219911485751,-0.76099604,-9.4928372,-0.10198916
1474475393952997929,560,1474475393856074603,imu,0.0393,0.3749,-0.226,0.0200712863979,0.0668461103514,-0.00488692190558,-0.79237732,-9.5712904,-0.0784532
1474475394053720325,561,1474475393952072888,imu,0.0409,0.3743,-0.2267,0.0254818070791,0.0788888821901,-0.00453785605519,-0.77668668,-9.69681552,-0.08629852
1474475394154314483,562,1474475394054335226,imu,0.0421,0.3728,-0.2285,0.0293215314335,0.0631809189222,-0.00872664625997,-0.76099604,-9.8458766,-0.08629852
1474475394244870628,563,1474475394151976886,imu,0.0429,0.3728,-0.2305,0.046425758103,0.0408407044967,-0.0268780704807,-0.75315072,-9.90863916,-0.08629852
1474475394345483306,564,1474475394249459604,imu,0.0433,0.372,-0.232,0.0408407044967,0.0275762021815,-0.0520108117094,-0.69823348,-9.95571108,-0.00784532
1474475394446060389,565,1474475394347069760,imu,0.0423,0.3704,-0.2337,0.0387463093943,0.0165806278939,-0.0764454212374,-0.71392412,-9.8851032,0.02353596
1474475394546655391,566,1474475394449564495,imu,0.0398,0.369,-0.2356,0.0183259571459,0.0244346095279,-0.0774926187885,-0.72176944,-9.77526872,0.12552512
1474475394647226676,567,1474475394547094098,imu,0.0373,0.3682,-0.237,-0.0143116998664,0.0471238898038,-0.053407075111,-0.79237732,-9.6889702,0.12552512
1474475394748187218,568,1474475394644833185,imu,0.0377,0.368,-0.236,-0.0439822971503,0.0548033385126,-0.00925024503557,-0.85513988,-9.72035148,0.10198916
1474475394838583829,569,1474475394747692034,imu,0.0389,0.369,-0.2346,-0.0680678408278,0.0712094334814,0.0233874119767,-0.91005712,-9.78311404,0.03138128
1474475394939177773,570,1474475394844801079,imu,0.0411,0.3717,-0.2323,-0.0701622359302,0.0748746249106,0.0345575191895,-0.91790244,-9.82234064,0.02353596
