%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1474475454555969695,185,1474475454146218061,map,-30.2239798557,-35.7848263007,-0.653900117874,0.0,0.0,0.0,1.0,4.25005716484,0.0,6.19435351849,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475464573196997,186,1474475464070992946,map,-30.0820797932,-35.6298263293,-0.449300022125,0.0,0.0,0.0,1.0,4.39788073401,0.0,6.09183072329,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475497559223472,187,1474475496612286090,map,-26.4940799725,-27.1063263637,0.503600029945,0.0,0.0,0.0,1.0,5.08635102164,0.0,3.49950085282,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475499549309438,188,1474475498851809978,map,-26.2141803753,-26.4580261928,0.70560005188,0.0,0.0,0.0,1.0,5.23229603748,0.0,3.29727339387,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475500646937283,189,1474475500273785114,map,-26.1682800304,-26.2848265392,1.1673000145,0.0,0.0,0.0,1.0,5.56587426047,0.0,3.26411039472,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475502511266678,190,1474475501692287921,map,-26.4917801869,-26.3266260844,1.82580000043,0.0,0.0,0.0,1.0,6.04164050031,0.0,3.49783925772,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475503643279803,191,1474475503244626998,map,-26.274279977,-26.1503260356,1.18719997883,0.0,0.0,0.0,1.0,5.5802519847,0.0,3.34069535613,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475505559049607,192,1474475504683374881,map,-26.1871799481,-25.8898260814,1.720200001,0.0,0.0,0.0,1.0,5.96534450072,0.0,3.27776558518,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475507566532675,193,1474475507132894039,map,-26.0035799992,-25.491126321,1.65240000069,0.0,0.0,0.0,1.0,5.9163590005,0.0,3.14511462212,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475508951596234,194,1474475508544452905,map,-26.1806801807,-25.4562266093,2.07460000992,0.0,0.0,0.0,1.0,6.22139850717,0.0,3.27306950331,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475510555741687,195,1474475509989365100,map,-26.0877803814,-25.2286265117,2.11140000701,0.0,0.0,0.0,1.0,6.24798650506,0.0,3.20594939828,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475511641082987,196,1474475511293963909,map,-25.8114799511,-25.0238268596,1.67549999684,0.0,0.0,0.0,1.0,5.93304874772,0.0,3.00632233739,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474475513501749181,197,1474475512728149890,map,-25.5278793844,-25.0239336888,2.07330000281,0.0,0.0,0.0,1.0,6.22045925203,0.0,2.80142144322,0.0,0.7225,0.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
