%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1474477150941968286,502,1474477150947814286,dvl,0,0.0174532923847,0.5,75.0,2.53999996185
1474477151364554482,503,1474477151367342984,dvl,0,0.0174532923847,0.5,75.0,2.45000004768
1474477151787059363,504,1474477151786319305,dvl,0,0.0174532923847,0.5,75.0,2.41000008583
1474477152199622104,505,1474477152205619952,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477152622271093,506,1474477152626344141,dvl,0,0.0174532923847,0.5,75.0,2.45000004768
1474477153004701878,507,1474477153013666251,dvl,0,0.0174532923847,0.5,75.0,2.53999996185
1474477153427418311,508,1474477153434914923,dvl,0,0.0174532923847,0.5,75.0,2.48000001907
1474477153850085080,509,1474477153855528372,dvl,0,0.0174532923847,0.5,75.0,2.5
1474477154273165213,510,1474477154276093347,dvl,0,0.0174532923847,0.5,75.0,2.48000001907
1474477154696362544,511,1474477154695288338,dvl,0,0.0174532923847,0.5,75.0,2.44000005722
1474477155109306479,512,1474477155113518189,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477155532021105,513,1474477155531302592,dvl,0,0.0174532923847,0.5,75.0,2.34999990463
1474477155944676069,514,1474477155949846940,dvl,0,0.0174532923847,0.5,75.0,2.3900001049
1474477156367311071,515,1474477156370303106,dvl,0,0.0174532923847,0.5,75.0,2.42000007629
1474477156790017829,516,1474477156792443152,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477157212926875,517,1474477157213596111,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477157635612036,518,1474477157634418333,dvl,0,0.0174532923847,0.5,75.0,2.49000000954
1474477158048270855,519,1474477158054334621,dvl,0,0.0174532923847,0.5,75.0,2.49000000954
1474477158471028035,520,1474477158473575776,dvl,0,0.0174532923847,0.5,75.0,2.42000007629
1474477158894277803,521,1474477158892769373,dvl,0,0.0174532923847,0.5,75.0,2.43000006676
1474477159306782300,522,1474477159311020727,dvl,0,0.0174532923847,0.5,75.0,2.38000011444
1474477159719505549,523,1474477159728919759,dvl,0,0.0174532923847,0.5,75.0,2.3900001049
1474477160142635253,524,1474477160148402265,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477160565349844,525,1474477160569352009,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477160988041988,526,1474477160987839457,dvl,0,0.0174532923847,0.5,75.0,2.44000005722
1474477161410718737,527,1474477161409349105,dvl,0,0.0174532923847,0.5,75.0,2.32999992371
1474477161823290266,528,1474477161822820863,dvl,0,0.0174532923847,0.5,75.0,2.38000011444
1474477162235844265,529,1474477162237758132,dvl,0,0.0174532923847,0.5,75.0,2.32999992371
1474477162618371805,530,1474477162617805575,dvl,0,0.0174532923847,0.5,75.0,2.23000001907
1474477163030915252,531,1474477163029956884,dvl,0,0.0174532923847,0.5,75.0,2.15000009537
1474477163443841566,532,1474477163445791259,dvl,0,0.0174532923847,0.5,75.0,2.31999993324
1474477163856795295,533,1474477163861864025,dvl,0,0.0174532923847,0.5,75.0,2.32999992371
1474477164279536894,534,1474477164277502789,dvl,0,0.0174532923847,0.5,75.0,2.30999994278
1474477164692270007,535,1474477164692565850,dvl,0,0.0174532923847,0.5,75.0,2.29999995232
1474477165104970623,536,1474477165106666373,dvl,0,0.0174532923847,0.5,75.0,2.26999998093
1474477165517647857,537,1474477165521122465,dvl,0,0.0174532923847,0.5,75.0,2.26999998093
1474477165930520755,538,1474477165935250264,dvl,0,0.0174532923847,0.5,75.0,2.27999997139
1474477166312860218,539,1474477166316047976,dvl,0,0.0174532923847,0.5,75.0,2.27999997139
1474477166594672926,540,1474477166599291122,dvl,0,0.0174532923847,0.5,75.0,-1.0
1474477167017765681,541,1474477167018406288,dvl,0,0.0174532923847,0.5,75.0,0.0
1474477167420403886,542,1474477167420160840,dvl,0,0.0174532923847,0.5,75.0,2.00999999046
1474477167702195128,543,1474477167703236939,dvl,0,0.0174532923847,0.5,75.0,-1.0
1474477168114769949,544,1474477168117712152,dvl,0,0.0174532923847,0.5,75.0,0.0
1474477168517753268,545,1474477168519037908,dvl,0,0.0174532923847,0.5,75.0,2.01999998093
1474477168920509034,546,1474477168919249338,dvl,0,0.0174532923847,0.5,75.0,2.01999998093
1474477169312981411,547,1474477169320490119,dvl,0,0.0174532923847,0.5,75.0,2.00999999046
1474477169715755052,548,1474477169716766278,dvl,0,0.0174532923847,0.5,75.0,1.80999994278
1474477169988015986,549,1474477169995816221,dvl,0,0.0174532923847,0.5,75.0,-1.0
1474477170410623660,550,1474477170410281250,dvl,0,0.0174532923847,0.5,75.0,0.0
1474477170813296356,551,1474477170817490133,dvl,0,0.0174532923847,0.5,75.0,2.05999994278
1474477171226608954,552,1474477171231649700,dvl,0,0.0174532923847,0.5,75.0,2.38000011444
1474477171639776494,553,1474477171642431047,dvl,0,0.0174532923847,0.5,75.0,2.1099998951
1474477172022406467,554,1474477172022438234,dvl,0,0.0174532923847,0.5,75.0,2.25999999046
1474477172435033897,555,1474477172433818429,dvl,0,0.0174532923847,0.5,75.0,2.1400001049
1474477172837760882,556,1474477172845824512,dvl,0,0.0174532923847,0.5,75.0,2.29999995232
1474477173250867286,557,1474477173251997411,dvl,0,0.0174532923847,0.5,75.0,2.06999993324
1474477173653591510,558,1474477173658876003,dvl,0,0.0174532923847,0.5,75.0,2.05999994278
1474477174056192569,559,1474477174064228341,dvl,0,0.0174532923847,0.5,75.0,2.03999996185
1474477174468947592,560,1474477174471826808,dvl,0,0.0174532923847,0.5,75.0,2.06999993324
1474477174881572258,561,1474477174882137970,dvl,0,0.0174532923847,0.5,75.0,2.16000008583
1474477175284264630,562,1474477175292409449,dvl,0,0.0174532923847,0.5,75.0,2.15000009537
1474477175666971163,563,1474477175671153328,dvl,0,0.0174532923847,0.5,75.0,2.1400001049
