%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474477151233807551,167,1474477151240875518,gps_origin,0,1,39.7176583333,2.58647833333,7.0,0.745,0.0,0.0,0.0,0.745,0.0,0.0,0.0,0.91,2
1474477152239868808,168,1474477152247651913,gps_origin,0,1,39.71766,2.586475,7.0,0.745,0.0,0.0,0.0,0.745,0.0,0.0,0.0,0.94,2
1474477153256222761,169,1474477153260941565,gps_origin,0,1,39.7176633333,2.58647,7.0,0.745,0.0,0.0,0.0,0.745,0.0,0.0,0.0,0.93,2
1474477154232908482,170,1474477154236628448,gps_origin,0,1,39.7176883333,2.58644166667,7.0,1.36,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.93,2
1474477155220051834,171,1474477155228655321,gps_origin,0,1,39.71771,2.58642,7.0,1.36,0.0,0.0,0.0,1.36,0.0,0.0,0.0,1.0,2
1474478253253233687,172,1474478253258062790,gps_origin,0,1,39.7176516667,2.586515,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,1.0,2
1474478254241312242,173,1474478254250110929,gps_origin,0,1,39.7176733333,2.58652333333,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478255248489900,174,1474478255253814742,gps_origin,0,1,39.7176733333,2.586525,5.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478256247105304,175,1474478256254072461,gps_origin,0,1,39.7176733333,2.58652666667,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478257257803053,176,1474478257266146897,gps_origin,0,1,39.7176683333,2.58652666667,9.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478258240451094,177,1474478258249909840,gps_origin,0,1,39.7176666667,2.586525,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478259255690605,178,1474478259258994089,gps_origin,0,1,39.7176666667,2.58652333333,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478260241787520,179,1474478260249994257,gps_origin,0,1,39.717665,2.58652166667,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478261253926156,180,1474478261260148229,gps_origin,0,1,39.7176633333,2.58652,7.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478262252035871,181,1474478262260049357,gps_origin,0,1,39.7176633333,2.58652,8.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478263243455354,182,1474478263249750863,gps_origin,0,1,39.7176633333,2.58652,2.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478264261331783,183,1474478264264147330,gps_origin,0,1,39.7176633333,2.58651833333,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478265263373533,184,1474478265272529541,gps_origin,0,1,39.7176616667,2.58651833333,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478266259320461,185,1474478266261482786,gps_origin,0,1,39.7176633333,2.58651666667,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478267266266442,186,1474478267269951327,gps_origin,0,1,39.717665,2.58651666667,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.84,2
1474478268246765358,187,1474478268254446972,gps_origin,0,1,39.7176683333,2.58651666667,0.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,1.57,2
1474478269264132424,188,1474478269264264835,gps_origin,0,1,39.7176716667,2.58651666667,4.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478270275055991,189,1474478270279668289,gps_origin,0,1,39.7176716667,2.586515,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478271262823539,190,1474478271264637329,gps_origin,0,1,39.7176716667,2.586515,3.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478272268137056,191,1474478272267488956,gps_origin,0,1,39.7176716667,2.586515,2.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478273243496992,192,1474478273251516830,gps_origin,0,1,39.7176716667,2.586515,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478274243581284,193,1474478274253069586,gps_origin,0,1,39.7176716667,2.58651333333,7.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478275262452880,194,1474478275264878563,gps_origin,0,1,39.7176733333,2.58651333333,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478276282432968,195,1474478276278932302,gps_origin,0,1,39.7176733333,2.58651333333,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478277259263347,196,1474478277267955816,gps_origin,0,1,39.7176733333,2.58651166667,4.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478278265494662,197,1474478278265170659,gps_origin,0,1,39.7176733333,2.58651333333,3.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478279265797167,198,1474478279264712562,gps_origin,0,1,39.7176733333,2.58651166667,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
