%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1474477153467631153,0,1474477153467631102,modem_origin,-40.2789463502,-44.9880739026,3.30045087704,-0.0239158604721,0.121322726224,0.56984291607,0.8123963803,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477156417639693,1,1474477156387439013,modem_origin,-39.8452520609,-44.1787203882,2.75710350158,-0.0185719314688,0.138822191661,0.575111879254,0.805996159299,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477157565195783,2,1474477157545044899,modem_origin,-39.7713191313,-43.6303771592,2.90756300532,-0.00869431759547,0.127839695204,0.586032106369,0.800092364341,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477159477875255,3,1474477159467812061,modem_origin,-39.6093093687,-43.0699606223,2.66325396518,-0.0306563641278,0.090649355969,0.579732790973,0.809167950843,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477160565349844,4,1474477160545211315,modem_origin,-39.4387339399,-42.9571873119,2.51044575985,-0.0322628249314,0.128785935752,0.582369969566,0.802009046974,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477163463962944,5,1474477163423733234,modem_origin,-39.0192455854,-41.4971051829,2.43132433857,-0.00408461732825,0.150980612203,0.581586653799,0.799340437338,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477165487446178,6,1474477165467325449,modem_origin,-38.7552902102,-41.0613272039,2.4363747653,0.00301374517238,0.117052795144,0.588018033121,0.80032765366,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477166665108547,7,1474477166624860287,modem_origin,-38.7073842162,-40.6731287922,2.37479910784,0.0363902314188,0.113419177669,0.583642273927,0.803226952536,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477168487556891,8,1474477168467436790,modem_origin,-38.437474929,-39.8878753482,2.4315254676,-0.00892989834742,0.0842718730852,0.569342749621,0.817720821415,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477169665426218,9,1474477169625182867,modem_origin,-38.4205378474,-39.7666866713,2.24559022106,-0.0152596720143,0.0433640535203,0.65504215492,0.754192599109,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
