%time,field.data
1474477153467631153,50.0
1474477156417639693,50.0
1474477157565195783,60.0000038147
1474477159477875255,66.6666717529
1474477160565349844,71.4285736084
1474477163463962944,75.0
1474477165487446178,77.7777786255
1474477166665108547,80.0
1474477168487556891,81.8181838989
1474477169665426218,83.3333282471
1474477172465217591,84.6153869629
1474477172465217591,85.7142868042
1474477175163572299,86.6666641235
1474477175445265311,87.5
1474477176562769451,88.2352981567
1474477179260980674,88.8888931274
1474477179442099368,89.4736862183
1474477181435369946,90.0
1474477182663465762,90.4761886597
1474477184445558160,90.9090957642
1474477185563043055,91.3043518066
1474477187495782640,91.6666717529
1474477190656911491,92.0
1474477194483708771,92.3076934814
1474477199467330815,92.592590332
1474477202426760393,92.8571395874
1474477203666664902,93.1034469604
1474477206486164465,93.3333358765
1474477209435221223,93.5483856201
1474477212489285457,93.75
1474477214505312711,93.9393920898
1474477215861349180,94.1176452637
1474477217439292152,94.2857131958
1474477218565547042,94.444442749
1474477220482592672,94.5945892334
1474477223434942588,94.7368469238
1474477224439373142,94.8717956543
1474477225460763494,95.0
1474477228163076033,95.1219482422
1474477228465050370,95.2380981445
1474477230257923810,95.3488311768
1474477231475658300,95.4545440674
1474477234468460147,95.555557251
1474477235656311022,95.6521759033
1474477237483640747,95.744682312
1474477239426511648,95.8333282471
1474477240655099255,95.9183654785
1474477242434886790,96.0
1474477243556930167,96.0784301758
1474477245424279681,96.1538467407
1474477246555637359,96.2264175415
1474477248478787517,96.296295166
1474477250487099435,96.3636322021
1474477251653037076,96.4285736084
1474477254554056961,96.4912261963
1474477256475397528,96.5517196655
1474477258495329494,96.610168457
1474477259657595558,96.6666641235
1474477261427185820,96.7213058472
1474477262555431562,96.7741928101
1474477264483045138,96.8253936768
1474477266424845637,96.875
1474477267756622586,96.9230804443
1474477269482880596,96.9696960449
1474477270656585196,97.0149307251
1474477272435524514,97.0588226318
1474477273557808458,97.1014480591
1474477275655469226,97.1428604126
1474477277957621667,97.1830978394
1474477278425295062,97.2222213745
1474477279438076022,97.260269165
1474477280556167320,97.2973022461
1474477282487705007,97.3333358765
1474477283657107951,97.3684158325
1474477285474343265,97.40259552
1474477287476834481,97.4358978271
1474477288653936785,97.4683532715
1474477290494691527,97.5
1474477291653001369,97.5308685303
1474477293437023641,97.5609741211
1474477295477858150,97.5903625488
1474477296854870148,97.6190414429
1474477298502373015,97.6470565796
1474477299654683805,97.6744155884
1474477301449979671,97.7011489868
1474477304456766389,97.7272720337
1474477306169341142,97.7528076172
1474477306443695646,97.7777786255
1474477307568741815,97.8022003174
1474477310255524640,97.8260879517
1474477310449550348,97.8494644165
1474477313654087603,97.8723373413
1474477315481872304,97.8947372437
1474477316655137022,97.9166717529
1474477318482793654,97.9381408691
