% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
346,416,165,-48.7738,-30.8666,-3.45507,-0.281043,0.000628812,0.237881,0.929746,-49.1095,-30.4753,-3.42622,-0.25498,-0.110743,-0.0286472,0.960157
138,359,48,-41.171,-33.6633,-2.10528,0.0217532,0.220055,0.968514,0.114386,-42.6417,-32.1515,-2.77404,-0.153252,-0.10037,-0.603651,0.775916
198,352,90,-42.9872,-31.1972,-2.85055,0.0317979,0.272785,0.958623,0.0749571,-44.6585,-30.6537,-3.22386,-0.206141,-0.0710161,-0.110917,0.969619
85,428,69,-43.9621,-34.6995,-1.43915,-0.00343214,0.225409,0.967774,0.112214,-44.7838,-33.5441,-1.95418,-0.139036,-0.229107,-0.675568,0.686867
262,321,139,-47.3601,-45.5878,2.69191,0.0504513,0.192316,0.974773,0.101425,-47.3205,-45.8637,2.74289,-0.00364753,0.170166,0.976644,0.131139
198,284,52,-42.9872,-31.1972,-2.85055,0.0317979,0.272785,0.958623,0.0749571,-43.9291,-31.0667,-2.98287,-0.198748,-0.0100697,-0.0562523,0.978383
52,268,115,-50.828,-42.1896,1.4857,-0.128145,-0.0762702,-0.0870268,0.984981,-50.0175,-43.2173,1.89586,-0.0587531,0.160568,0.713495,0.679479
95,153,82,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794,-52.5586,-33.8579,-1.70829,-0.0315043,-0.266823,-0.812811,0.516867
37,96,220,-52.6383,-35.1548,-1.42621,0.0401864,0.231472,0.912474,-0.334958,-52.874,-34.8882,-1.2908,-0.135939,-0.29919,-0.77302,0.542629
38,97,57,-52.8518,-35.4432,-1.3244,0.0410836,0.254955,0.859975,-0.440175,-53.1132,-35.7705,-0.798155,-0.12162,-0.22434,-0.755858,0.602959
3,65,69,-40.232,-44.6446,1.72096,-0.0166304,0.13176,0.562151,0.816302,-41.0494,-43.7006,1.81593,-0.101837,-0.00052141,-0.148536,0.983649
198,354,5,-42.9872,-31.1972,-2.85055,0.0317979,0.272785,0.958623,0.0749571,-44.042,-30.7343,-3.06288,-0.204512,-0.0365889,-0.168256,0.963601
103,334,130,-52.8263,-39.722,0.48695,-0.118916,-0.0924044,-0.243214,0.95821,-52.3668,-40.6179,0.906401,-0.13343,0.0864756,0.636303,0.754876
219,337,130,-51.9098,-36.1587,-0.784495,-0.172338,-0.113559,-0.247611,0.946622,-51.42,-37.2023,-0.313978,-0.0891817,0.0529171,0.592918,0.798558
220,337,14,-51.5999,-36.3726,-0.624655,-0.142725,-0.139405,-0.160105,0.966728,-51.42,-37.2023,-0.313978,-0.0891817,0.0529171,0.592918,0.798558
130,185,237,-37.4559,-37.604,-0.752052,-0.0678537,0.160723,0.646858,0.742387,-37.677,-37.6115,-0.679919,-0.103871,0.193869,0.592982,0.774595
120,245,5,-40.3645,-42.7133,1.35885,-0.0666919,0.0715407,0.173145,0.980028,-38.9105,-42.2174,1.09951,-0.157119,-0.129026,-0.750614,0.628685
39,156,88,-53.4621,-35.8768,-0.955248,-0.106942,-0.256551,-0.810927,0.51492,-53.4438,-35.8873,-0.953672,-0.0782627,-0.212046,-0.715705,0.660816
40,156,219,-53.4967,-36.2904,-0.813679,-0.101551,-0.232586,-0.781278,0.57026,-53.4438,-35.8873,-0.953672,-0.0782627,-0.212046,-0.715705,0.660816
6,67,56,-39.7082,-43.8568,1.73093,-0.069002,0.175902,0.588611,0.786025,-39.444,-43.831,1.53963,-0.0868613,0.115505,0.371762,0.91701
37,155,23,-52.6383,-35.1548,-1.42621,0.0401864,0.231472,0.912474,-0.334958,-53.1915,-34.6671,-1.38279,-0.115082,-0.268561,-0.751476,0.591536
72,127,60,-38.0237,-40.5642,0.494669,-0.0736566,0.217418,0.628078,0.743521,-38.0417,-39.9024,0.243011,-0.0488878,0.150075,0.611907,0.775021
67,246,87,-39.444,-43.831,1.53963,-0.0868613,0.115505,0.371762,0.91701,-38.8772,-42.5293,1.18337,-0.154859,-0.114284,-0.764834,0.614806
3,66,67,-40.232,-44.6446,1.72096,-0.0166304,0.13176,0.562151,0.816302,-40.5313,-44.0348,1.71832,-0.205543,0.029384,-0.0669672,0.975912
153,407,314,-52.5586,-33.8579,-1.70829,-0.0315043,-0.266823,-0.812811,0.516867,-53.4977,-35.0647,-1.18493,-0.138398,0.0815119,0.592737,0.789218
283,353,46,-44.5968,-31.0359,-2.94554,-0.187042,-0.0418367,-0.0082719,0.981426,-44.2261,-30.6236,-3.1786,-0.206355,-0.0563504,-0.154038,0.964632
83,362,207,-41.8368,-35.1352,-1.39515,-0.00511602,0.198192,0.971018,0.133485,-42.3015,-34.226,-1.56531,-0.146942,-0.210262,-0.717537,0.647563
49,330,75,-53.1083,-41.5567,1.12559,-0.178496,-0.0950139,-0.186991,0.961325,-52.6841,-41.9916,1.33517,-0.0592649,0.0767106,0.67942,0.727319
173,300,94,-42.3274,-39.8767,0.642877,-0.178254,-0.033369,-0.0939574,0.97892,-40.9404,-39.2887,0.391559,-0.137711,-0.16791,-0.781723,0.584595
224,274,216,-49.5695,-37.0764,-0.340716,-0.157669,-0.0318942,-0.0886608,0.982987,-48.8807,-38.1173,0.038015,-0.121171,0.0956017,0.581124,0.799045
129,183,54,-37.7916,-38.8477,-0.251437,-0.0876908,0.18719,0.623559,0.753952,-38.063,-38.8222,-0.173859,-0.0538698,0.111069,0.535794,0.835276
8,121,162,-39.5478,-43.1057,1.70698,-0.112323,0.157964,0.576298,0.793922,-40.0396,-42.72,1.36353,-0.0375256,0.150344,0.285403,0.945798
7,121,174,-39.6613,-43.4147,1.70887,-0.0720513,0.186569,0.571787,0.795651,-40.0396,-42.72,1.36353,-0.0375256,0.150344,0.285403,0.945798
74,129,184,-37.8144,-38.8258,-0.268506,-0.068393,0.149499,0.629869,0.759103,-37.7916,-38.8477,-0.251437,-0.0876908,0.18719,0.623559,0.753952
94,151,50,-51.3194,-33.7428,-1.99524,-0.0530088,0.282873,0.924435,-0.250184,-52.0712,-33.1651,-2.35155,0.0496061,0.294673,0.835561,-0.461025
198,283,288,-42.9872,-31.1972,-2.85055,0.0317979,0.272785,0.958623,0.0749571,-44.5968,-31.0359,-2.94554,-0.187042,-0.0418367,-0.0082719,0.981426
135,289,33,-38.9397,-34.6444,-1.8584,0.0339797,0.228706,0.942092,0.242901,-39.9323,-33.1295,-2.37074,-0.189734,-0.1169,-0.655374,0.721679
