% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
37,113,240,-52.1722,-34.867,-0.384805,0.00334002,0.209064,0.919784,-0.332081,-52.3732,-34.4884,-0.291985,-0.0808043,-0.285264,-0.806534,0.511466
227,387,123,-44.0122,-30.7529,-1.45157,-0.00872207,0.256896,0.958534,0.123046,-45.1333,-29.9875,-1.65898,-0.175448,-0.0492342,-0.141464,0.973027
37,244,220,-52.1722,-34.867,-0.384805,0.00334002,0.209064,0.919784,-0.332081,-52.3086,-34.3111,-0.429387,-0.091313,-0.169559,-0.705132,0.682423
36,112,277,-51.4333,-34.4126,-0.393057,-0.0504882,0.260547,0.925566,-0.269988,-51.7388,-33.9652,-0.780262,-0.0116067,0.277413,0.871458,-0.404313
111,243,86,-51.251,-33.5574,-0.808014,-0.0977145,0.244681,0.925285,-0.27282,-52.1488,-33.4393,-0.803546,-0.0769297,-0.204642,-0.748174,0.62645
43,182,8,-53.5568,-37.0597,0.499123,-0.0757955,-0.223977,-0.739955,0.629727,-53.1043,-36.4702,0.234564,0.0164119,-0.193711,-0.455337,0.868835
118,182,5,-52.8894,-36.5266,0.316195,-0.0259269,-0.202162,-0.743811,0.636555,-53.1043,-36.4702,0.234564,0.0164119,-0.193711,-0.455337,0.868835
87,152,47,-37.8932,-39.044,0.685477,-0.00676033,0.167043,0.630736,0.757775,-37.7967,-38.7465,0.662925,-0.0254663,0.198405,0.632515,0.748273
100,461,56,-44.485,-34.1607,-0.193745,-0.0319978,0.209117,0.971267,0.109024,-44.5239,-33.1524,-0.500375,-0.124475,-0.178502,-0.708285,0.671547
382,449,148,-48.9939,-30.4463,-1.7399,-0.227626,0.0141508,0.288795,0.92983,-49.3648,-29.8282,-1.94041,-0.122199,-0.118708,-0.00784143,0.98535
169,310,329,-46.0037,-32.371,-0.743848,-0.00603534,0.229706,0.9639,0.134519,-46.79,-32.6579,-0.688634,-0.116959,0.151687,0.607104,0.771191
255,465,267,-46.486,-37.182,0.809893,-0.101874,-0.0233663,-0.0341183,0.993937,-45.2485,-36.3584,0.718614,-0.124297,-0.182981,-0.763734,0.606447
314,387,6,-45.264,-30.9192,-1.60085,-0.1705,0.0249971,0.123936,0.977213,-45.1333,-29.9875,-1.65898,-0.175448,-0.0492342,-0.141464,0.973027
230,384,264,-46.6033,-30.0646,-1.51562,0.0271972,0.236615,0.96538,0.10637,-47.9806,-29.7805,-1.83098,-0.193671,-0.0730697,0.0892198,0.974265
71,338,29,-42.8128,-43.0618,2.44091,-0.0573998,0.0837737,-0.096585,0.990131,-41.8497,-43.066,2.32593,-0.0871237,-0.0422919,-0.796078,0.597395
225,317,5,-42.388,-30.9589,-1.37828,0.0491967,0.221247,0.966925,0.116983,-43.531,-30.7895,-1.49547,-0.185081,-0.0079705,-0.0817368,0.979286
36,244,239,-51.4333,-34.4126,-0.393057,-0.0504882,0.260547,0.925566,-0.269988,-52.3086,-34.3111,-0.429387,-0.091313,-0.169559,-0.705132,0.682423
102,308,54,-46.2225,-33.9531,-0.208146,-0.00855583,0.209996,0.970395,0.119003,-47.0557,-33.6858,-0.308398,-0.153782,0.0952679,0.587056,0.789076
228,313,86,-45.277,-30.4219,-1.4672,0.0395198,0.242961,0.960386,0.13064,-46.0857,-31.076,-1.49698,-0.168344,0.0601201,0.276,0.944388
129,299,157,-50.0723,-40.4024,1.55446,-0.0726645,-0.0624394,-0.105913,0.989749,-49.6024,-41.4449,1.78348,-0.079774,0.0834245,0.632645,0.765792
77,272,156,-39.2913,-43.452,1.85912,-0.0351103,0.146821,0.454582,0.877819,-38.8305,-42.04,1.53509,-0.128442,-0.0847454,-0.772825,0.61568
111,177,76,-51.251,-33.5574,-0.808014,-0.0977145,0.244681,0.925285,-0.27282,-51.7788,-32.8024,-1.06625,0.00705399,0.234743,0.840536,-0.488206
111,178,67,-51.251,-33.5574,-0.808014,-0.0977145,0.244681,0.925285,-0.27282,-52.0782,-33.1328,-0.935965,-0.0172683,-0.224848,-0.827176,0.514708
41,117,70,-53.3374,-36.3967,0.321497,-0.0596798,-0.220705,-0.779255,0.583515,-52.9391,-36.3143,0.340553,-0.0378282,-0.19581,-0.748661,0.632245
40,115,166,-53.0723,-35.8243,0.0372042,-0.0818771,-0.236257,-0.7805,0.572973,-52.7473,-35.5896,0.158143,-0.0732932,-0.218802,-0.749625,0.620336
42,117,73,-53.4235,-36.6154,0.3906,-0.0739192,-0.205385,-0.762171,0.609465,-52.9391,-36.3143,0.340553,-0.0378282,-0.19581,-0.748661,0.632245
84,150,185,-38.0239,-40.1864,1.1011,-0.0110404,0.204302,0.622968,0.755016,-38.0982,-39.9739,1.10258,0.0318691,0.149165,0.581116,0.799398
231,382,103,-47.653,-29.8263,-1.53384,0.013167,0.249186,0.960059,0.126567,-48.9939,-30.4463,-1.7399,-0.227626,0.0141508,0.288795,0.92983
232,382,70,-48.0785,-29.6636,-1.64774,0.00436276,0.242701,0.9631,0.116255,-48.9939,-30.4463,-1.7399,-0.227626,0.0141508,0.288795,0.92983
161,322,55,-39.8199,-33.965,-0.631817,0.0378028,0.230788,0.946205,0.223615,-40.2766,-32.5311,-1.31415,-0.186916,-0.0402556,-0.562618,0.804303
169,309,291,-46.0037,-32.371,-0.743848,-0.00603534,0.229706,0.9639,0.134519,-46.8636,-33.0128,-0.597856,-0.146032,0.1516,0.586828,0.781873
145,270,174,-39.4018,-42.2908,1.63706,-0.0984014,0.162257,0.358636,0.913986,-38.6959,-41.1743,1.33604,-0.15269,-0.110835,-0.735565,0.65065
39,115,57,-52.9235,-35.4462,-0.0788471,-0.0555209,-0.232486,-0.825076,0.511974,-52.7473,-35.5896,0.158143,-0.0732932,-0.218802,-0.749625,0.620336
82,147,58,-38.1163,-41.205,1.4814,-0.000726279,0.168509,0.6301,0.758009,-38.4404,-41.0158,1.31584,-0.0135743,0.163146,0.514119,0.841951
6,144,172,-39.5975,-43.1203,1.94968,-0.00106487,0.148593,0.584708,0.797518,-40.1174,-42.555,1.74945,0.0308208,0.135567,0.264684,0.954261
38,114,177,-52.7005,-35.2512,-0.247365,0.0216212,0.230504,0.853712,-0.466451,-52.6924,-35.237,0.130643,-0.0735905,-0.228744,-0.760945,0.60268
59,297,99,-50.2627,-41.9093,1.93963,-0.0921646,-0.0948007,-0.0802414,0.987968,-49.7707,-42.5146,2.16069,-0.0489203,0.069152,0.63237,0.770022
59,296,87,-50.2627,-41.9093,1.93963,-0.0921646,-0.0948007,-0.0802414,0.987968,-49.6976,-43.0625,2.26579,-0.0423617,0.0909368,0.736264,0.669217
229,385,103,-46.0772,-30.1574,-1.46974,0.0162834,0.251672,0.959281,0.127184,-47.1191,-29.7042,-1.94524,-0.186548,-0.048962,-0.00528592,0.981211
128,299,22,-50.4998,-40.2895,1.51917,-0.0873766,-0.0858645,-0.120973,0.985068,-49.6024,-41.4449,1.78348,-0.079774,0.0834245,0.632645,0.765792
258,400,106,-44.2865,-37.3423,1.03807,-0.082252,-0.0579172,-0.0422917,0.994028,-42.8564,-37.0403,0.669515,-0.113246,-0.139022,-0.788484,0.588337
177,242,459,-51.7788,-32.8024,-1.06625,0.00705399,0.234743,0.840536,-0.488206,-51.9781,-32.7144,-1.0953,-0.0951481,-0.237031,-0.758483,0.599555
112,243,169,-51.7388,-33.9652,-0.780262,-0.0116067,0.277413,0.871458,-0.404313,-52.1488,-33.4393,-0.803546,-0.0769297,-0.204642,-0.748174,0.62645
