% timestamp, frame id, x, y, z, qx, qy, qz, qw
1474477150.511164,0,0.121786,0.226569,0.005673,-0.034821,0.122863,0.527934,0.839630
1474477151.041040,1,0.201877,0.346811,0.043128,-0.032146,0.135897,0.537405,0.831681
1474477151.975055,2,-40.306117,-45.052684,1.939840,-0.003132,0.154644,0.544159,0.824601
1474477153.708977,3,-40.085035,-44.412924,1.687150,-0.026021,0.128198,0.569906,0.811231
1474477154.640893,4,-39.946128,-44.176491,1.955241,-0.030011,0.136621,0.564106,0.813768
1474477156.774165,5,-39.678683,-43.588584,1.871498,-0.008619,0.143283,0.575920,0.804806
1474477158.108133,6,-39.597517,-43.120294,1.949683,-0.001065,0.148593,0.584708,0.797518
1474477159.309261,7,-39.529579,-42.937094,2.051124,-0.040600,0.129820,0.601405,0.787281
1474477160.374032,8,-39.435116,-42.682243,1.925417,-0.067658,0.167879,0.573570,0.798910
1474477161.308560,9,-39.300263,-42.275731,1.850394,-0.075316,0.196744,0.581374,0.785891
1474477162.242236,10,-39.188218,-41.989482,1.826467,-0.089701,0.228863,0.581658,0.775402
1474477163.307413,11,-39.058854,-41.613764,1.738794,-0.083294,0.234264,0.564475,0.787115
1474477164.240648,12,-38.888626,-41.305274,1.688221,-0.102098,0.202584,0.560019,0.796815
1474477167.708568,13,-38.585874,-40.215208,1.590843,-0.098439,0.168263,0.550096,0.812029
1474477169.573796,14,-38.393323,-39.814958,1.450008,-0.107283,0.119724,0.631635,0.758415
1474477171.309073,15,-38.368068,-39.226719,1.295800,-0.051719,0.307639,0.767611,0.559871
1474477172.106848,16,-38.450721,-38.965644,1.206043,0.022438,0.353783,0.809203,0.468534
1474477175.574390,17,-39.004508,-38.247806,0.898558,0.019283,0.210290,0.897151,0.387977
1474477179.315251,18,-39.807522,-37.617400,0.750851,0.060072,0.209891,0.935596,0.277482
1474477182.909271,19,-40.721311,-37.128156,0.680376,0.038295,0.213000,0.948196,0.232569
1474477183.973422,20,-41.046070,-36.896442,0.687710,0.032577,0.201349,0.957590,0.203516
1474477185.175009,21,-41.323820,-36.724532,0.641560,0.029278,0.202320,0.964425,0.167610
1474477187.573281,22,-41.874195,-36.566657,0.519130,0.021119,0.174159,0.973622,0.145886
1474477188.906610,23,-42.453562,-36.392097,0.522574,0.020855,0.190917,0.970413,0.146337
1474477191.307279,24,-43.420869,-36.059352,0.581482,0.055919,0.181902,0.972080,0.137281
1474477192.639926,25,-43.927989,-35.882982,0.600882,0.040678,0.166591,0.976917,0.127380
1474477194.106409,26,-44.516576,-35.741595,0.593444,0.030371,0.195941,0.969740,0.142437
1474477196.506406,27,-45.391332,-35.568610,0.586467,0.012461,0.182926,0.969172,0.164587
1474477198.773582,28,-46.343218,-35.352766,0.627589,0.006247,0.210562,0.964665,0.158261
1474477200.106247,29,-46.884647,-35.287137,0.601125,-0.016452,0.207162,0.966437,0.151041
1474477201.442641,30,-47.468016,-35.180441,0.450691,-0.041832,0.204982,0.967722,0.140520
1474477203.839256,31,-48.440340,-34.876203,0.276298,-0.087022,0.207401,0.963814,0.143090
1474477205.840170,32,-49.192906,-34.767245,0.085710,-0.095380,0.193352,0.966025,0.142525
