%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1474477152200377622,505,1474477152205619952,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477152622826015,506,1474477152626344141,dvl,0,0.0174532923847,0.5,75.0,2.45000004768
1474477153005102066,507,1474477153013666251,dvl,0,0.0174532923847,0.5,75.0,2.53999996185
1474477153427670395,508,1474477153434914923,dvl,0,0.0174532923847,0.5,75.0,2.48000001907
1474477153850386813,509,1474477153855528372,dvl,0,0.0174532923847,0.5,75.0,2.5
1474477154273227229,510,1474477154276093347,dvl,0,0.0174532923847,0.5,75.0,2.48000001907
1474477154696047207,511,1474477154695288338,dvl,0,0.0174532923847,0.5,75.0,2.44000005722
1474477155108616380,512,1474477155113518189,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477155531608154,513,1474477155531302592,dvl,0,0.0174532923847,0.5,75.0,2.34999990463
1474477155945381689,514,1474477155949846940,dvl,0,0.0174532923847,0.5,75.0,2.3900001049
1474477156368353671,515,1474477156370303106,dvl,0,0.0174532923847,0.5,75.0,2.42000007629
1474477156791235603,516,1474477156792443152,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477157213774675,517,1474477157213596111,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477157626329594,518,1474477157634418333,dvl,0,0.0174532923847,0.5,75.0,2.49000000954
1474477158048930829,519,1474477158054334621,dvl,0,0.0174532923847,0.5,75.0,2.49000000954
1474477158471788738,520,1474477158473575776,dvl,0,0.0174532923847,0.5,75.0,2.42000007629
1474477158884609134,521,1474477158892769373,dvl,0,0.0174532923847,0.5,75.0,2.43000006676
1474477159307379355,522,1474477159311020727,dvl,0,0.0174532923847,0.5,75.0,2.38000011444
1474477159719947924,523,1474477159728919759,dvl,0,0.0174532923847,0.5,75.0,2.3900001049
1474477160142736449,524,1474477160148402265,dvl,0,0.0174532923847,0.5,75.0,2.40000009537
1474477160565553591,525,1474477160569352009,dvl,0,0.0174532923847,0.5,75.0,2.50999999046
1474477160988231799,526,1474477160987839457,dvl,0,0.0174532923847,0.5,75.0,2.44000005722
1474477161400923560,527,1474477161409349105,dvl,0,0.0174532923847,0.5,75.0,2.32999992371
1474477161823731731,528,1474477161822820863,dvl,0,0.0174532923847,0.5,75.0,2.38000011444
1474477162236385287,529,1474477162237758132,dvl,0,0.0174532923847,0.5,75.0,2.32999992371
1474477162618935373,530,1474477162617805575,dvl,0,0.0174532923847,0.5,75.0,2.23000001907
