%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474477152240613644,168,1474477152247651913,gps_origin,0,1,39.71766,2.586475,7.0,0.745,0.0,0.0,0.0,0.745,0.0,0.0,0.0,0.94,2
1474477153256649260,169,1474477153260941565,gps_origin,0,1,39.7176633333,2.58647,7.0,0.745,0.0,0.0,0.0,0.745,0.0,0.0,0.0,0.93,2
1474477154232955020,170,1474477154236628448,gps_origin,0,1,39.7176883333,2.58644166667,7.0,1.36,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.93,2
1474477155219511283,171,1474477155228655321,gps_origin,0,1,39.71771,2.58642,7.0,1.36,0.0,0.0,0.0,1.36,0.0,0.0,0.0,1.0,2
1474478253255533494,172,1474478253258062790,gps_origin,0,1,39.7176516667,2.586515,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,1.0,2
1474478254241679688,173,1474478254250110929,gps_origin,0,1,39.7176733333,2.58652333333,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478255247627190,174,1474478255253814742,gps_origin,0,1,39.7176733333,2.586525,5.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478256246914141,175,1474478256254072461,gps_origin,0,1,39.7176733333,2.58652666667,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478257263713661,176,1474478257266146897,gps_origin,0,1,39.7176683333,2.58652666667,9.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478258249723084,177,1474478258249909840,gps_origin,0,1,39.7176666667,2.586525,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478259255722037,178,1474478259258994089,gps_origin,0,1,39.7176666667,2.58652333333,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478260245114293,179,1474478260249994257,gps_origin,0,1,39.717665,2.58652166667,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478261252797578,180,1474478261260148229,gps_origin,0,1,39.7176633333,2.58652,7.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478262251503676,181,1474478262260049357,gps_origin,0,1,39.7176633333,2.58652,8.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478263242644332,182,1474478263249750863,gps_origin,0,1,39.7176633333,2.58652,2.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478264261384691,183,1474478264264147330,gps_origin,0,1,39.7176633333,2.58651833333,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478265263914594,184,1474478265272529541,gps_origin,0,1,39.7176616667,2.58651833333,6.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478266259148590,185,1474478266261482786,gps_origin,0,1,39.7176633333,2.58651666667,3.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478267265361713,186,1474478267269951327,gps_origin,0,1,39.717665,2.58651666667,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.84,2
1474478268246358165,187,1474478268254446972,gps_origin,0,1,39.7176683333,2.58651666667,0.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,1.57,2
1474478269262153382,188,1474478269264264835,gps_origin,0,1,39.7176716667,2.58651666667,4.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478270271963113,189,1474478270279668289,gps_origin,0,1,39.7176716667,2.586515,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478271263689419,190,1474478271264637329,gps_origin,0,1,39.7176716667,2.586515,3.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478272264013867,191,1474478272267488956,gps_origin,0,1,39.7176716667,2.586515,2.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478273246359433,192,1474478273251516830,gps_origin,0,1,39.7176716667,2.586515,1.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478274244395042,193,1474478274253069586,gps_origin,0,1,39.7176716667,2.58651333333,7.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478275252487910,194,1474478275264878563,gps_origin,0,1,39.7176733333,2.58651333333,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478276282278494,195,1474478276278932302,gps_origin,0,1,39.7176733333,2.58651333333,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478277259657863,196,1474478277267955816,gps_origin,0,1,39.7176733333,2.58651166667,4.0,0.485,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.84,2
1474478278265274141,197,1474478278265170659,gps_origin,0,1,39.7176733333,2.58651333333,3.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
1474478279255609167,198,1474478279264712562,gps_origin,0,1,39.7176733333,2.58651166667,5.0,0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.84,2
