%time,field.data
1474477153467904939,50.0
1474477156408642703,50.0
1474477157565940801,60.0000038147
1474477159478439395,66.6666717529
1474477160565553591,71.4285736084
1474477163464356883,75.0
1474477165488765226,77.7777786255
1474477166666514107,80.0
1474477168488875374,81.8181838989
1474477169666705316,83.3333282471
1474477172465133015,84.6153869629
1474477172465133015,85.7142868042
1474477175162769829,86.6666641235
1474477175444509945,87.5
1474477176562108610,88.2352981567
1474477179260987129,88.8888931274
1474477179442084522,89.4736862183
1474477181435923922,90.0
1474477182664288489,90.4761886597
1474477184445894049,90.9090957642
1474477185562861689,91.3043518066
1474477187505442398,91.6666717529
1474477190656679254,92.0
1474477194483289977,92.3076934814
1474477199465090906,92.592590332
1474477202424196218,92.8571395874
1474477203662580014,93.1034469604
1474477206482863273,93.3333358765
1474477209432460689,93.5483856201
1474477212492208250,93.75
1474477214506742007,93.9393920898
1474477215855783441,94.1176452637
1474477217436648325,94.2857131958
1474477218565337644,94.444442749
1474477220478892900,94.5945892334
1474477223428713295,94.7368469238
1474477224445484741,94.8717956543
1474477225452079983,95.0
1474477228159891753,95.1219482422
1474477228461726040,95.2380981445
1474477230263925169,95.3488311768
1474477231472483622,95.4545440674
1474477234473024402,95.555557251
1474477235660734929,95.6521759033
1474477237482917553,95.744682312
1474477239426570280,95.8333282471
1474477240655325862,95.9183654785
1474477242437476776,96.0
1474477243555096604,96.0784301758
1474477245427422476,96.1538467407
1474477246554932153,96.2264175415
1474477248478202144,96.296295166
1474477250493426030,96.3636322021
1474477251660916188,96.4285736084
1474477254549888589,96.4912261963
1474477256472694673,96.5517196655
1474477258496271016,96.610168457
1474477259654330760,96.6666641235
1474477261426163142,96.7213058472
1474477262553764814,96.7741928101
1474477264487013753,96.8253936768
1474477266429917541,96.875
1474477267758608244,96.9230804443
1474477269480463329,96.9696960449
1474477270658417983,97.0149307251
1474477272440035627,97.0588226318
1474477273557979128,97.1014480591
1474477275661671074,97.1428604126
1474477277956956438,97.1830978394
1474477278430384002,97.2222213745
1474477279436921336,97.260269165
1474477280555062152,97.2973022461
1474477282488286226,97.3333358765
1474477283660700022,97.3684158325
1474477285472102517,97.40259552
1474477287475018637,97.4358978271
1474477288652701279,97.4683532715
1474477290484862027,97.5
1474477291653827639,97.5308685303
1474477293436167874,97.5609741211
1474477295481403062,97.5903625488
1474477296861002425,97.6190414429
1474477298501383514,97.6470565796
1474477299658670356,97.6744155884
1474477301440232360,97.7011489868
1474477304456036669,97.7272720337
1474477306169692570,97.7528076172
1474477306443526198,97.7777786255
1474477307568553691,97.8022003174
1474477310255266076,97.8260879517
1474477310450008065,97.8494644165
1474477313653636968,97.8723373413
1474477315481054882,97.8947372437
1474477316663628935,97.9166717529
1474477318482831654,97.9381408691
1474477320479990276,97.9591827393
1474477323475606261,97.9797973633
1474477324469263074,98.0
1474477325428047310,99.0
1474477326655821355,99.0
1474477328757343044,100.0
1474477330956286428,100.0
1474477333753651291,98.0
1474477335449638748,98.0
1474477337477657370,98.0
1474477357489612110,98.0
1474477360849189088,98.0
1474477360859269303,98.0
1474477362420960428,98.0
1474477363457473274,98.0
1474477365491502487,98.0
1474477366658836989,98.0
1474477368469638168,98.0
1474477370421724182,98.0
1474477373469628914,98.0
1474477378471898143,96.0
1474477381151340410,96.0
1474477381423938838,96.0
1474477382551009897,96.0
1474477384418583613,96.0
1474477386252114335,96.0
1474477389467666375,96.0
1474477390651947058,96.0
1474477394258515244,95.0
1474477395555875414,95.0
1474477397431938275,95.0
1474477398552669009,95.0
1474477400483418792,95.0
1474477402352733442,95.0
1474477403456465339,95.0
1474477406153302665,95.0
1474477406480163420,95.0
1474477408855880449,95.0
1474477410954043090,95.0
1474477411552658073,95.0
1474477413414490192,95.0
1474477414556131181,95.0
1474477416405210837,95.0
1474477417553013328,95.0
1474477424436339169,93.0
1474477425460412841,93.0
1474477426430243552,93.0
1474477429486192154,93.0
1474477430439011291,93.0
1474477431431078793,93.0
1474477432663198965,93.0
1474477434416526270,93.0
1474477436262594598,93.0
1474477437435065054,93.0
1474477438749100779,93.0
1474477440413019027,93.0
1474477441664037585,93.0
1474477443471987332,93.0
1474477445430871387,93.0
1474477446553129180,93.0
1474477448462426751,93.0
1474477449548422678,93.0
1474477452663875943,93.0
1474477452663875943,93.0
1474477454492756589,93.0
1474477455661021577,93.0
1474477457472751456,93.0
1474477458554855174,93.0
1474477460664502312,93.0
1474477461415175221,93.0
1474477462764059735,93.0
1474477465589113406,93.0
1474477467469140115,93.0
1474477469365447164,93.0
