%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1475331073205019859,100,1475331073184358660,dvl,0,0.0174444448203,0.5,75.0,16.2896289825
1475331073405001808,101,1475331073372329631,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331073604913154,102,1475331073563848469,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331073805186265,103,1475331073752745674,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331074004769114,104,1475331073993981052,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331074204894037,105,1475331074179363437,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331074404971191,106,1475331074366571665,dvl,0,0.0174444448203,0.5,75.0,16.2896327972
1475331074605063844,107,1475331074563993407,dvl,0,0.0174444448203,0.5,75.0,16.2896327972
1475331074805117477,108,1475331074786027684,dvl,0,0.0174444448203,0.5,75.0,16.2896308899
1475331075005011516,109,1475331074967829697,dvl,0,0.0174444448203,0.5,75.0,16.2896327972
1475331075204995118,110,1475331075191817798,dvl,0,0.0174444448203,0.5,75.0,16.2896327972
1475331075405092216,111,1475331075368540001,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331075605308919,112,1475331075594610314,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331075804875213,113,1475331075789097700,dvl,0,0.0174444448203,0.5,75.0,16.2896327972
1475331076004867502,114,1475331075967974156,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331076204989084,115,1475331076199931571,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331076404799277,116,1475331076387628402,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331076604923254,117,1475331076562612144,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331076809151367,118,1475331076799223883,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077004892660,119,1475331076992256458,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077205717243,120,1475331077199574943,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077405034660,121,1475331077393073354,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077605199335,122,1475331077581851732,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077804762547,123,1475331077764833604,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078004975430,124,1475331077996191699,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078205315224,125,1475331078193208032,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078404994335,126,1475331078379299912,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078605621477,127,1475331078556067905,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078804929980,128,1475331078779785911,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331079005242577,129,1475331078961317057,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
