%time,field.data
1475331136873726867,50.0
1475331138874672443,66.6666717529
1475331148874933766,37.5
1475331152871889937,40.0
1475331154879529740,45.4545478821
1475331156871093073,50.0
1475331158876835748,53.846157074
1475331160872666241,57.1428604126
1475331166882190595,52.9411773682
1475331168875051569,55.555557251
1475331170873029523,57.8947372437
1475331172873911673,60.0000038147
1475331174873108019,61.9047622681
1475331180872048495,58.3333320618
1475331182875907868,60.0000038147
1475331186875523505,59.2592582703
1475331194873700660,54.8387107849
1475331196874189509,56.25
1475331198873764082,57.575756073
1475331200872101581,58.8235321045
1475331202875571431,60.0000038147
1475331204873661993,61.1111106873
1475331206872226695,62.1621627808
1475331208875940360,63.1578903198
1475331210872717571,64.1025695801
1475331212872927744,65.0
1475331214876862924,65.8536605835
1475331216873935993,66.6666717529
1475331218875757679,67.4418640137
1475331220872372162,68.1818161011
1475331222872284408,68.8888931274
1475331224874552853,69.5652160645
1475331226874129942,70.2127609253
1475331228874346518,70.8333282471
1475331232875334674,70.0
1475331234874976278,70.5882339478
1475331236872552687,71.1538467407
1475331238874831499,71.6981124878
1475331242876668139,70.9090881348
1475331244873385274,71.4285736084
1475331246879652162,71.9298248291
1475331248872260147,72.4137878418
1475331250877319558,72.8813552856
1475331252871837417,73.3333358765
1475331254875985355,73.7704925537
1475331256877724969,74.1935501099
1475331258872326024,74.6031799316
1475331260872039219,75.0
1475331262876836503,75.3846130371
1475331264874308151,75.7575759888
1475331266876236818,76.1194076538
1475331268870607221,76.4705886841
1475331270874677085,76.8115921021
1475331278879088532,73.9726028442
1475331296875700704,67.0731735229
1475331298872564150,67.4698791504
1475331300873327574,67.8571395874
1475331302873587602,68.2352981567
1475331306874329874,67.8160934448
1475331308877380039,68.1818161011
1475331310874727755,68.5393295288
1475331312877922644,68.8888931274
1475331314890195710,69.2307739258
1475331316875924343,69.5652160645
1475331320873517231,69.1489334106
1475331322875664400,69.4736862183
1475331330874905846,67.6767654419
1475331334877911403,68.0
1475331336872042824,68.0
1475331340873675822,68.0
1475331342872833826,69.0
1475331344875736356,70.0
1475331348872561563,70.0
1475331350880077802,71.0
1475331360870283006,67.0
1475331362875746969,68.0
1475331364873505121,69.0
1475331368876407610,68.0
1475331374876710066,66.0
1475331376874278962,67.0
1475331378875060505,68.0
1475331384876489180,67.0
1475331386877276078,67.0
1475331388874431987,68.0
1475331390874361626,69.0
1475331392873756228,70.0
1475331398877367463,68.0
1475331414877264324,61.0
1475331416878509341,61.0
1475331422872824170,58.9999961853
1475331424877637831,58.9999961853
1475331428870645522,58.0
1475331430878088797,58.9999961853
1475331432873612188,58.9999961853
1475331434879451121,58.9999961853
1475331436873627940,58.9999961853
1475331438881871010,58.9999961853
1475331440873459949,60.0000038147
1475331442872918970,60.0000038147
1475331446876610270,58.9999961853
1475331448872963962,58.9999961853
1475331450879442325,58.9999961853
1475331452875092047,58.9999961853
1475331454872036672,58.9999961853
1475331456874322117,58.9999961853
1475331458879765056,58.9999961853
1475331464873941081,57.0
1475331466873181605,57.0
1475331468872322614,57.0
1475331470871662644,57.0
1475331472872339651,58.0
1475331474871424089,58.9999961853
1475331476879014999,60.0000038147
1475331478871378181,60.0000038147
1475331480872415416,61.0
1475331482871024813,62.0
1475331486876827082,63.0
1475331488870917659,64.0
1475331492872657691,65.0
1475331494881547238,66.0
1475331500877018618,64.0
1475331502876627124,64.0
1475331504871885870,65.0
1475331506873366514,65.0
1475331510879113620,64.0
1475331512871146056,64.0
1475331514882518803,64.0
1475331522872575497,62.0
1475331524873435313,63.0
1475331526874996103,64.0
1475331528873594914,65.0
1475331532875446479,65.0
1475331536873591187,64.0
1475331538878640444,65.0
1475331542881195330,64.0
1475331544875892944,64.0
1475331546871773299,65.0
1475331548875484885,65.0
1475331550872782236,65.0
1475331552875366575,66.0
1475331556878155920,67.0
1475331558879799722,68.0
1475331564878780486,66.0
1475331566873079239,67.0
1475331568872612081,67.0
1475331572874128928,68.0
1475331574875089391,68.0
1475331576871972702,68.0
1475331578873167240,68.0
1475331580880258544,69.0
1475331584874239310,69.0
1475331586872012575,69.0
1475331588874593596,69.0
1475331590873863254,69.0
1475331592872053703,69.0
1475331594875705482,70.0
1475331596874868745,71.0
1475331600878129050,71.0
1475331602871739488,72.0
1475331604871542434,73.0
1475331606873166619,74.0
1475331610878001999,75.0
1475331612877880235,76.0
1475331614880374763,76.0
1475331616879578254,76.0
1475331618874592544,77.0
1475331620876725868,78.0
1475331626875641156,77.0
1475331628874720820,77.0
1475331630870959363,77.0
1475331632879021020,77.0
1475331634878374490,77.0
1475331636879481951,77.0
1475331638883229375,77.0
1475331644877771104,76.0
1475331646883418418,76.0
1475331648877106195,76.0
1475331650872265762,76.0
1475331652875477446,76.0
