%time,field.header.seq,field.header.stamp,field.header.frame_id,field.measurement_time,field.remote_address,field.X,field.Y,field.Z,field.N,field.E,field.U,field.roll,field.pitch,field.yaw,field.propagation_time,field.rssi,field.integrity,field.accuracy
1475331134871760865,1,1475331132867871999,,0.0,0,0.0,0.0,0.0,-3.93546843529,8.75217056274,-2.30129718781,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331136868696798,2,1475331134866780996,,0.0,0,0.0,0.0,0.0,-4.08727836609,8.69099521637,-2.23528409004,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331138868456291,3,1475331136868201017,,0.0,0,0.0,0.0,0.0,-4.13466644287,9.17926120758,-1.46183025837,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331140869332360,4,1475331138867736101,,0.0,0,0.0,0.0,0.0,-3.85673761368,8.60289001465,-1.6483528614,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331142868992480,5,1475331140867562055,,0.0,0,0.0,0.0,0.0,-5.03341817856,8.08093357086,-2.0115301609,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331144868513203,6,1475331142867741107,,0.0,0,0.0,0.0,0.0,-4.31324720383,8.78006744385,-0.801878809929,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331146874731270,7,1475331144868103027,,0.0,0,0.0,0.0,0.0,-4.66533136368,9.57971572876,-1.73985028267,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331148869364206,8,1475331146867645978,,0.0,0,0.0,0.0,0.0,-5.15891313553,10.2345123291,-1.35644936562,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331150867605710,9,1475331148868125915,,0.0,0,0.0,0.0,0.0,-4.57402276993,8.43683052063,-1.25562059879,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331152868097270,10,1475331150867085933,,0.0,0,0.0,0.0,0.0,-4.56688451767,9.5537853241,-0.551163554192,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331154873024770,11,1475331152867671966,,0.0,0,0.0,0.0,0.0,-4.46152114868,9.44962978363,-1.77929699421,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331156868280590,12,1475331154867957115,,0.0,0,0.0,0.0,0.0,-3.73541092873,10.1509113312,-0.807776510715,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331158871741692,13,1475331156867758035,,0.0,0,0.0,0.0,0.0,-3.93133068085,10.7848711014,-1.9794626236,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331160868629627,14,1475331158868331909,,0.0,0,0.0,0.0,0.0,-3.33957743645,10.4893388748,-1.34565913677,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331162869596592,15,1475331160868071079,,0.0,0,0.0,0.0,0.0,-2.68833422661,11.9324483871,-0.741541385651,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331164867331266,16,1475331162868078947,,0.0,0,0.0,0.0,0.0,-3.50451779366,10.7758951187,-1.9059677124,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331166876791973,17,1475331164866585969,,0.0,0,0.0,0.0,0.0,-3.05009317398,11.5395679474,-0.749866366386,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331168868678261,18,1475331166868504047,,0.0,0,0.0,0.0,0.0,-2.5597589016,12.0203113556,-0.940704345703,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331170869098653,19,1475331168868339061,,0.0,0,0.0,0.0,0.0,-2.92085599899,12.7208585739,-1.09780693054,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331172869822849,20,1475331170867924928,,0.0,0,0.0,0.0,0.0,-2.47129273415,12.9469366074,-0.745420336723,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331174869263527,21,1475331172868351936,,0.0,0,0.0,0.0,0.0,-2.23720693588,13.8445482254,-1.1937828064,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331176868467303,22,1475331174868536949,,0.0,0,0.0,0.0,0.0,-1.47717320919,13.3595733643,-0.481910794973,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331178870025301,23,1475331176867969036,,0.0,0,0.0,0.0,0.0,-0.583813667297,15.0701093674,-0.771780908108,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331180868936823,24,1475331178868083953,,0.0,0,0.0,0.0,0.0,-1.36678147316,15.7303380966,-0.170522272587,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331182869433714,25,1475331180868599891,,0.0,0,0.0,0.0,0.0,-1.34586405754,16.7124061584,-1.05002820492,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331184868212217,26,1475331182868352890,,0.0,0,0.0,0.0,0.0,-1.00753414631,16.0242576599,-1.31141507626,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331186870823770,27,1475331184867852926,,0.0,0,0.0,0.0,0.0,-1.0818734169,16.8956928253,-1.02470421791,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331188868423142,28,1475331186868486881,,0.0,0,0.0,0.0,0.0,-1.74974799156,18.5324020386,-0.194012910128,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331190869701047,29,1475331188867903947,,0.0,0,0.0,0.0,0.0,-0.869805395603,18.36460495,-0.589459657669,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331192868433693,30,1475331190868747949,,0.0,0,0.0,0.0,0.0,-2.30381083488,18.3657588959,-0.574973523617,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331194868904530,31,1475331192867547988,,0.0,0,0.0,0.0,0.0,-2.13560056686,18.3082733154,-0.684431374073,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331196868382760,32,1475331194867880105,,0.0,0,0.0,0.0,0.0,-2.49171590805,18.8426647186,-0.420315027237,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331198870215083,33,1475331196867753982,,0.0,0,0.0,0.0,0.0,-3.35660219193,19.3170032501,-1.11984348297,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331200868211437,34,1475331198868771076,,0.0,0,0.0,0.0,0.0,-3.86585140228,19.3818588257,-0.863020122051,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331202869830083,35,1475331200867686033,,0.0,0,0.0,0.0,0.0,-4.44876527786,19.0036659241,-1.01632714272,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331204869895812,36,1475331202867635011,,0.0,0,0.0,0.0,0.0,-4.49079036713,19.8294811249,-0.717933297157,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331206869333677,37,1475331204868716955,,0.0,0,0.0,0.0,0.0,-5.13937807083,20.2699375153,-1.15585839748,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331208870089338,38,1475331206868186950,,0.0,0,0.0,0.0,0.0,-5.42682600021,19.4042453766,-0.503312289715,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331210869011697,39,1475331208868191957,,0.0,0,0.0,0.0,0.0,-6.56094455719,20.1690196991,-0.456460177898,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331212868404505,40,1475331210867892980,,0.0,0,0.0,0.0,0.0,-6.50840806961,19.5841064453,-0.66333770752,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331214873025752,41,1475331212868110895,,0.0,0,0.0,0.0,0.0,-7.43992519379,19.7146549225,-0.389683842659,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331216869416457,42,1475331214870696067,,0.0,0,0.0,0.0,0.0,-8.23404407501,20.8311538696,-0.9230645895,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331218870440678,43,1475331216868316888,,0.0,0,0.0,0.0,0.0,-9.30339050293,20.8238048553,-0.871155381203,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331220869516969,44,1475331218869582891,,0.0,0,0.0,0.0,0.0,-9.32668590546,21.1069221497,-0.190860629082,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331222868883971,45,1475331220868001937,,0.0,0,0.0,0.0,0.0,-10.3327798843,21.4610500336,-1.5147203207,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331224869653977,46,1475331222867974996,,0.0,0,0.0,0.0,0.0,-10.8667612076,22.0567855835,-0.15199688077,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331226868717393,47,1475331224868829965,,0.0,0,0.0,0.0,0.0,-12.3993406296,21.5983409882,-0.777605116367,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331228868978489,48,1475331226868029117,,0.0,0,0.0,0.0,0.0,-13.0525979996,22.7087039948,-0.735553562641,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331230868556723,49,1475331228867724895,,0.0,0,0.0,0.0,0.0,-12.7315502167,21.9622859955,-0.298007905483,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331232871140776,50,1475331230867860078,,0.0,0,0.0,0.0,0.0,-13.5051002502,22.1167678833,-1.24930012226,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331234867938803,51,1475331232870474100,,0.0,0,0.0,0.0,0.0,-14.7818613052,22.6811408997,-0.76414847374,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331236869321464,52,1475331234867508888,,0.0,0,0.0,0.0,0.0,-15.5913677216,22.9123649597,-1.42819845676,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331238870147649,53,1475331236868747949,,0.0,0,0.0,0.0,0.0,-16.7623176575,22.2266921997,-0.509219706059,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331240870388805,54,1475331238868124961,,0.0,0,0.0,0.0,0.0,-16.0359172821,22.773021698,-1.20901250839,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331242868930307,55,1475331240868937015,,0.0,0,0.0,0.0,0.0,-16.541519165,22.0567169189,0.0345179140568,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331244869432775,56,1475331242868351936,,0.0,0,0.0,0.0,0.0,-17.5107440948,21.9894638062,-0.863566696644,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331246870456831,57,1475331244868721008,,0.0,0,0.0,0.0,0.0,-18.2501602173,22.113079071,-0.749718010426,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331248869455164,58,1475331246869944095,,0.0,0,0.0,0.0,0.0,-18.4504852295,20.6874198914,-0.729258596897,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331250874443132,59,1475331248868464946,,0.0,0,0.0,0.0,0.0,-18.4883766174,19.8124504089,-1.40751314163,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331252868970671,60,1475331250869431972,,0.0,0,0.0,0.0,0.0,-18.4545192719,20.005651474,-0.428128153086,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331254869169225,61,1475331252868526935,,0.0,0,0.0,0.0,0.0,-18.5581645966,19.5489749908,-0.593394577503,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331256874674268,62,1475331254867670059,,0.0,0,0.0,0.0,0.0,-18.2892684937,18.8531951904,-0.779709458351,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331258869062346,63,1475331256870501995,,0.0,0,0.0,0.0,0.0,-18.4860095978,18.0940093994,-1.23707187176,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331260869177731,64,1475331258867762088,,0.0,0,0.0,0.0,0.0,-18.8202095032,17.3634376526,-0.906070709229,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331262870806085,65,1475331260868709087,,0.0,0,0.0,0.0,0.0,-18.4058475494,17.6191654205,-1.07875239849,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331264869912346,66,1475331262868122100,,0.0,0,0.0,0.0,0.0,-18.7418041229,16.8014411926,-1.09248459339,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331266869569902,67,1475331264868700027,,0.0,0,0.0,0.0,0.0,-18.5874118805,15.8562135696,-0.0719462707639,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331268868490901,68,1475331266868175029,,0.0,0,0.0,0.0,0.0,-18.256155014,16.238199234,-1.01378977299,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331270868968924,69,1475331268868283987,,0.0,0,0.0,0.0,0.0,-18.5366325378,15.619260788,-0.69165712595,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331272868113727,70,1475331270868088006,,0.0,0,0.0,0.0,0.0,-18.2312355042,13.3190593719,-0.186776950955,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331274869904667,71,1475331272867714881,,0.0,0,0.0,0.0,0.0,-17.1467819214,14.6369915009,-0.229809552431,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331276868655523,72,1475331274868946075,,0.0,0,0.0,0.0,0.0,-17.6648731232,14.2107982635,-1.09326004982,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331278874380950,73,1475331276868032932,,0.0,0,0.0,0.0,0.0,-16.5738716125,13.6073436737,-1.25079607964,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331280868805168,74,1475331278873491048,,0.0,0,0.0,0.0,0.0,-15.8684930801,14.4590215683,-0.990034162998,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331282869469915,75,1475331280867997884,,0.0,0,0.0,0.0,0.0,-15.5892095566,13.08989048,-0.515038609505,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331284868937412,76,1475331282867836952,,0.0,0,0.0,0.0,0.0,-15.3996524811,14.8358831406,-1.5070091486,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331286869164993,77,1475331284867485046,,0.0,0,0.0,0.0,0.0,-14.5561275482,13.8009815216,-0.207942247391,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331288869674924,78,1475331286868587970,,0.0,0,0.0,0.0,0.0,-15.254650116,12.7573099136,-1.25125932693,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331290868278347,79,1475331288867970943,,0.0,0,0.0,0.0,0.0,-13.4202699661,12.880988121,-0.527466118336,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331292869510341,80,1475331290867625951,,0.0,0,0.0,0.0,0.0,-14.0989122391,12.8450098038,-1.08678936958,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331294866325015,81,1475331292867887973,,0.0,0,0.0,0.0,0.0,-11.7781925201,12.4265460968,-0.884342730045,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331296869898898,82,1475331294866019010,,0.0,0,0.0,0.0,0.0,-11.8889636993,11.8586359024,-1.29303824902,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331298868579553,83,1475331296868944883,,0.0,0,0.0,0.0,0.0,-11.686126709,10.8521909714,-0.763295710087,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331300869313513,84,1475331298867963075,,0.0,0,0.0,0.0,0.0,-10.4496097565,11.1757888794,-1.69833099842,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331302869134019,85,1475331300868657112,,0.0,0,0.0,0.0,0.0,-10.3940229416,11.35962677,-0.86158901453,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331304874786234,86,1475331302867580890,,0.0,0,0.0,0.0,0.0,-8.47155475616,10.4831876755,-0.339040458202,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331306869419266,87,1475331304869401931,,0.0,0,0.0,0.0,0.0,-7.33095312119,10.1020584106,-1.18206501007,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331308868006354,88,1475331306868292093,,0.0,0,0.0,0.0,0.0,-6.48012065887,9.13396167755,-1.71294248104,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331310868087183,89,1475331308867003917,,0.0,0,0.0,0.0,0.0,-6.37752437592,9.06217861176,-0.943042874336,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331312869784739,90,1475331310867652893,,0.0,0,0.0,0.0,0.0,-6.35406398773,9.68711853027,-0.179777428508,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331314881821625,91,1475331312868436098,,0.0,0,0.0,0.0,0.0,-6.41245174408,9.47468852997,-1.83834338188,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331316869317435,92,1475331314878915071,,0.0,0,0.0,0.0,0.0,-5.82234096527,9.29135894775,-0.345821142197,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331318868338435,93,1475331316867780923,,0.0,0,0.0,0.0,0.0,-4.10332345963,10.3424911499,-0.580170631409,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331320869509339,94,1475331318867755889,,0.0,0,0.0,0.0,0.0,-4.14356184006,9.94946098328,-1.83923101425,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331322869302775,95,1475331320868294954,,0.0,0,0.0,0.0,0.0,-3.1206009388,9.89860439301,-0.597630083561,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331324869674535,96,1475331322867487907,,0.0,0,0.0,0.0,0.0,-2.67842507362,11.6013050079,-0.301874399185,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331326868413215,97,1475331324868896961,,0.0,0,0.0,0.0,0.0,-3.27364516258,10.7507638931,-0.450594931841,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331328868658638,98,1475331326867794990,,0.0,0,0.0,0.0,0.0,-2.8670027256,12.2590723038,-0.0431451946497,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331330869852640,99,1475331328868130922,,0.0,0,0.0,0.0,0.0,-3.54289531708,13.0116167068,-0.133961006999,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331332868491156,100,1475331330867722034,,0.0,0,0.0,0.0,0.0,-2.55863881111,13.0648603439,-1.43967330456,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331334868748468,101,1475331332867628097,,0.0,0,0.0,0.0,0.0,-2.3509209156,13.3668413162,-0.217230126262,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331336868422988,102,1475331334868113040,,0.0,0,0.0,0.0,0.0,-1.77452111244,14.6519765854,-0.347131282091,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331338870000820,103,1475331336868145942,,0.0,0,0.0,0.0,0.0,-2.97825288773,14.7985248566,-1.04445576668,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331340869742143,104,1475331338867741107,,0.0,0,0.0,0.0,0.0,-2.17152309418,15.6105718613,-0.569876372814,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331342867849267,105,1475331340868771076,,0.0,0,0.0,0.0,0.0,-1.72053289413,15.5118598938,-0.779647707939,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331344868400929,106,1475331342867113113,,0.0,0,0.0,0.0,0.0,-2.04128646851,16.7911643982,-0.456592589617,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331346869720862,107,1475331344868004083,,0.0,0,0.0,0.0,0.0,-0.964923977852,17.9468479156,-0.89422494173,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331348869451083,108,1475331346868680953,,0.0,0,0.0,0.0,0.0,-0.744853854179,17.953660965,-0.935160517693,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331350876818177,109,1475331348868650913,,0.0,0,0.0,0.0,0.0,-1.06349360943,18.9087924957,-0.245985582471,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331352868673235,110,1475331350868313074,,0.0,0,0.0,0.0,0.0,-1.55920124054,17.8623256683,-2.01087379456,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331354868449000,111,1475331352868083000,,0.0,0,0.0,0.0,0.0,-0.601924359798,19.2698516846,-0.782482087612,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331356869794807,112,1475331354867875099,,0.0,0,0.0,0.0,0.0,-2.0478553772,19.001285553,-1.45874965191,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331358869501307,113,1475331356868463993,,0.0,0,0.0,0.0,0.0,-1.96624326706,20.5489654541,-1.47195494175,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331360868097352,114,1475331358868568897,,0.0,0,0.0,0.0,0.0,-2.78788018227,19.9841995239,-1.44757187366,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331362868461125,115,1475331360867786884,,0.0,0,0.0,0.0,0.0,-3.1722843647,20.1527385712,-1.60284733772,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331364868322677,116,1475331362867760896,,0.0,0,0.0,0.0,0.0,-3.56603980064,20.6189002991,-0.0898785889149,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331366866951769,117,1475331364867692947,,0.0,0,0.0,0.0,0.0,-3.31768846512,21.4048709869,-1.94832909107,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331368871142594,118,1475331366866460084,,0.0,0,0.0,0.0,0.0,-3.90185379982,21.5136184692,-0.817228853703,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331370869537784,119,1475331368868371009,,0.0,0,0.0,0.0,0.0,-5.14090108871,20.8384609222,-1.14563131332,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331372870741903,120,1475331370868755102,,0.0,0,0.0,0.0,0.0,-5.08229923248,21.6593017578,-0.507986962795,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331374868741165,121,1475331372869992971,,0.0,0,0.0,0.0,0.0,-5.75064849854,21.2895565033,-1.29865109921,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331376869022464,122,1475331374867465972,,0.0,0,0.0,0.0,0.0,-6.41837501526,21.2802906036,-0.819552779198,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331378869722212,123,1475331376868247032,,0.0,0,0.0,0.0,0.0,-7.44421005249,22.279291153,-1.18766176701,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331380871329471,124,1475331378868731975,,0.0,0,0.0,0.0,0.0,-7.63694810867,21.4300765991,-1.04287242889,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331382870048107,125,1475331380869326114,,0.0,0,0.0,0.0,0.0,-9.22312831879,22.8925628662,-1.29271149635,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331384870344648,126,1475331382868474006,,0.0,0,0.0,0.0,0.0,-8.96621227264,23.4805145264,0.252155065536,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331386871290093,127,1475331384868860006,,0.0,0,0.0,0.0,0.0,-9.59003925323,23.0953235626,-0.835073649883,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331388868831794,128,1475331386868968009,,0.0,0,0.0,0.0,0.0,-10.7581605911,23.7353515625,-0.844724059105,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331390870989908,129,1475331388867830991,,0.0,0,0.0,0.0,0.0,-11.3420505524,23.7589225769,-1.27551436424,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331392868230127,130,1475331390867872953,,0.0,0,0.0,0.0,0.0,-11.8586206436,23.8591117859,-1.70926213264,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331394868406961,131,1475331392867911100,,0.0,0,0.0,0.0,0.0,-13.3558702469,25.3354644775,-1.55327582359,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331396868896386,132,1475331394867993116,,0.0,0,0.0,0.0,0.0,-13.1059436798,24.63580513,-0.764113068581,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331398869741401,133,1475331396868057966,,0.0,0,0.0,0.0,0.0,-14.0769634247,24.6833953857,-0.368444412947,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331400871508286,134,1475331398867440938,,0.0,0,0.0,0.0,0.0,-13.8420553207,25.5023002625,-0.468693494797,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331402870162439,135,1475331400868562936,,0.0,0,0.0,0.0,0.0,-15.5800962448,25.1893558502,-1.28970694542,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331404867738307,136,1475331402869570016,,0.0,0,0.0,0.0,0.0,-15.1359243393,24.3287811279,-0.976750075817,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331406870394649,137,1475331404866969108,,0.0,0,0.0,0.0,0.0,-17.0429573059,24.5197753906,-1.17007565498,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331408868930175,138,1475331406867363929,,0.0,0,0.0,0.0,0.0,-16.1394901276,23.231760025,-0.912202060223,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331410868761706,139,1475331408867883920,,0.0,0,0.0,0.0,0.0,-16.5893039703,24.3800525665,-0.987530648708,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331412870781190,140,1475331410867736101,,0.0,0,0.0,0.0,0.0,-17.6169834137,22.9287281036,-0.473270237446,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331414869189636,141,1475331412868325948,,0.0,0,0.0,0.0,0.0,-17.2731647491,22.2588844299,0.123487628996,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331416872871263,142,1475331414868216991,,0.0,0,0.0,0.0,0.0,-17.7911643982,22.071931839,-0.339806526899,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
1475331418871188329,143,1475331416869467020,,0.0,0,0.0,0.0,0.0,-16.8708648682,20.7806568146,-0.942953288555,0.0,0.0,0.0,0.0,-40.0,120.0,0.899999976158
