%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1475331077397068872,121,1475331077393073354,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077598305161,122,1475331077581851732,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331077799557564,123,1475331077764833604,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078000941380,124,1475331077996191699,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078202220985,125,1475331078193208032,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078403675416,126,1475331078379299912,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078604936080,127,1475331078556067905,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078796053953,128,1475331078779785911,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331078997241370,129,1475331078961317057,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331079198469305,130,1475331079153276133,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331079399804704,131,1475331079358551153,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331079601031763,132,1475331079598972666,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331079802485250,133,1475331079788933805,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080003759373,134,1475331079956590606,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080205094084,135,1475331080180572661,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080396239112,136,1475331080347150799,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080597532897,137,1475331080581224290,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080798720967,138,1475331080803443993,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331080999921940,139,1475331080996131545,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331081201266561,140,1475331081187140318,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331081402540604,141,1475331081358946464,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331081603779639,142,1475331081587819748,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331081804998950,143,1475331081763022223,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331081996223513,144,1475331081948572621,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331082197431322,145,1475331082190498686,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331082398658635,146,1475331082366858841,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331082599905992,147,1475331082594559859,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331082801091995,148,1475331082756376308,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331083002805236,149,1475331082993892349,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331083204040842,150,1475331083168837372,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331083395443947,151,1475331083400723604,dvl,0,0.0174444448203,0.5,75.0,16.2896347046
1475331083596759599,152,1475331083589531637,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
1475331083798012712,153,1475331083763355919,dvl,0,0.0174444448203,0.5,75.0,16.2896366119
