%time,field.header.seq,field.header.stamp,field.header.frame_id,field.header_dvl,field.date,field.salinity,field.temperature,field.depth,field.sound_speed,field.test,field.wi_x_axis,field.wi_y_axis,field.wi_z_axis,field.wi_error,field.wi_status,field.bi_x_axis,field.bi_y_axis,field.bi_z_axis,field.bi_error,field.bi_status,field.ws_transverse,field.ws_longitudinal,field.ws_normal,field.ws_status,field.bs_transverse,field.bs_longitudinal,field.bs_normal,field.bs_status,field.we_east,field.we_north,field.we_upwards,field.we_status,field.be_east,field.be_north,field.be_upwards,field.be_status,field.wd_east,field.wd_north,field.wd_upwards,field.wd_range,field.wd_time,field.bd_east,field.bd_north,field.bd_upwards,field.bd_range,field.bd_time,field.raw_data
1475331077457438384,132,1475331077460674047,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0455763253796,0.0320420762099,0.0233167275684,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331077658665873,133,1475331077660167932,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0203593475676,-0.0232018423766,0.0308023042474,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331077859924569,134,1475331077861218929,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0279900959187,0.0223017236464,-0.0221862440121,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331078051280514,135,1475331078060241937,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0299707091835,-0.00911304302961,0.00883820951494,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331078252565055,136,1475331078260320901,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0140897740857,0.0688985969079,-0.00669251183054,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331078453992360,137,1475331078460185050,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0358346164008,0.027120488368,-0.0132570662358,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331078655199055,138,1475331078660192012,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0384988914461,0.0395228445426,-0.00524597384656,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331078856464020,139,1475331078860162973,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0187476046035,0.00361692904519,-0.0135172802625,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331079057617684,140,1475331079060165882,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0150197195235,0.0244409560387,0.0381121912759,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331079258941832,141,1475331079260942935,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.00728203789323,-0.0359659919924,-0.0143523453591,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331079460162136,142,1475331079460486888,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0253189103638,0.0435674154432,-0.0357279882926,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331079661405057,143,1475331079660375118,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.00446613485437,-0.00168449871617,0.0158645796536,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331079852853483,144,1475331079860275030,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.00474638197619,0.00391503436213,0.00532871754598,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331080054101370,145,1475331080060385942,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.00622589060211,0.0245822364075,0.00849734725765,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331080255370393,146,1475331080260250091,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0126382145107,0.073599826049,-0.000406119707599,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331080456626337,147,1475331080460186958,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.00919791280196,0.000779858463234,-0.0150328780672,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331080657877465,148,1475331080660454988,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.00906886645136,0.0605655030358,-0.0492620281853,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331080859083281,149,1475331080860292911,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0290802189784,-0.0351026534558,0.00975297899431,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331081060319896,150,1475331081060179948,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0166295853077,0.0036984281131,-0.00582874464391,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331081251568209,151,1475331081260204076,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0210688731307,-0.0382887152304,-0.0228656016425,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896347046,0.0,
1475331081452840010,152,1475331081460259914,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0116708536847,0.0177787059984,-0.0126431164387,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
1475331081654075441,153,1475331081660207033,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.0524984784558,0.0431424169387,-0.0324639507637,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2896366119,0.0,
