%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1475331077859924569,27,1475331077863074064,gps_origin,0,1,39.7177074424,2.58645081734,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331078856464020,28,1475331078862880945,gps_origin,0,1,39.717708452,2.58644961087,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331079862909448,29,1475331079862782955,gps_origin,0,1,39.7177078953,2.58644795903,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331080859083281,30,1475331080862399101,gps_origin,0,1,39.7177078698,2.58644835564,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331081855299621,31,1475331081863060951,gps_origin,0,1,39.7177059369,2.58644817811,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331082861482164,32,1475331082862931966,gps_origin,0,1,39.717707225,2.58645053632,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331083858403365,33,1475331083862966060,gps_origin,0,1,39.7177076502,2.58644830767,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331084854558289,34,1475331084862994909,gps_origin,0,1,39.7177072238,2.58644846684,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331085860785025,35,1475331085862670898,gps_origin,0,1,39.7177096249,2.58645080061,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331086857270937,36,1475331086862803936,gps_origin,0,1,39.7177107888,2.58644896235,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331087863325025,37,1475331087862170934,gps_origin,0,1,39.7177091485,2.58644713864,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331088859605328,38,1475331088862323999,gps_origin,0,1,39.7177109868,2.58644786934,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331089856048183,39,1475331089863190889,gps_origin,0,1,39.7177142354,2.58644805906,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331090862134095,40,1475331090862266063,gps_origin,0,1,39.7177155972,2.58644849131,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331091858145313,41,1475331091862806081,gps_origin,0,1,39.7177160563,2.58645097676,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331092854473101,42,1475331092862163066,gps_origin,0,1,39.7177169814,2.58645071278,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331093861049787,43,1475331093863017082,gps_origin,0,1,39.7177208387,2.58645094474,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331094857308176,44,1475331094863435029,gps_origin,0,1,39.717721276,2.58645087929,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331095863669614,45,1475331095862804889,gps_origin,0,1,39.7177209718,2.58645206266,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331096859769906,46,1475331096862409114,gps_origin,0,1,39.7177237855,2.58645769497,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331097856116269,47,1475331097862059116,gps_origin,0,1,39.7177245877,2.58645948823,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331098862211371,48,1475331098861927032,gps_origin,0,1,39.7177249885,2.58646030398,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331099858224788,49,1475331099862787961,gps_origin,0,1,39.7177252169,2.58646380482,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331100855287473,50,1475331100861952066,gps_origin,0,1,39.7177260439,2.58646824607,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331101861358140,51,1475331101863647937,gps_origin,0,1,39.7177259412,2.58646914862,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331102857450713,52,1475331102863254070,gps_origin,0,1,39.7177252002,2.58647225332,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331103864237033,53,1475331103862838983,gps_origin,0,1,39.7177245575,2.58647532386,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331104860220124,54,1475331104862175941,gps_origin,0,1,39.7177229418,2.58647558422,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331105855998843,55,1475331105862437963,gps_origin,0,1,39.7177216735,2.58647855167,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331106862178008,56,1475331106862466096,gps_origin,0,1,39.7177190213,2.58648253134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331107858616563,57,1475331107863441944,gps_origin,0,1,39.7177182862,2.5864811366,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331108854877578,58,1475331108862176895,gps_origin,0,1,39.7177182334,2.58648280461,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331109861171413,59,1475331109862831115,gps_origin,0,1,39.7177145923,2.58648459956,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331110857695137,60,1475331110863317012,gps_origin,0,1,39.7177115136,2.58648604822,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331111854959474,61,1475331111862515926,gps_origin,0,1,39.7177114706,2.58649106696,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331112861340300,62,1475331112863277912,gps_origin,0,1,39.7177099505,2.58648956657,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331113857892966,63,1475331113863269090,gps_origin,0,1,39.7177076655,2.58649186283,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331114854081312,64,1475331114862811088,gps_origin,0,1,39.7177075393,2.58649139103,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331115860240076,65,1475331115862796068,gps_origin,0,1,39.7177038463,2.58649394516,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331116857254836,66,1475331116861903905,gps_origin,0,1,39.7177014716,2.5864950802,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331117854105292,67,1475331117862330913,gps_origin,0,1,39.7177009243,2.58649778571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331118860415187,68,1475331118863197088,gps_origin,0,1,39.7176976441,2.5864981886,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331119856639868,69,1475331119863388061,gps_origin,0,1,39.7176959213,2.58650280616,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331120862644897,70,1475331120862840890,gps_origin,0,1,39.7176941633,2.58650644249,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331121858638672,71,1475331121862787961,gps_origin,0,1,39.7176913362,2.5865073902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331122855475353,72,1475331122862832069,gps_origin,0,1,39.7176885571,2.58651306316,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331123862220777,73,1475331123862951040,gps_origin,0,1,39.7176865645,2.58651451047,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331124858499623,74,1475331124862772941,gps_origin,0,1,39.7176851339,2.5865182749,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331125854675399,75,1475331125862894058,gps_origin,0,1,39.7176849301,2.58651988875,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331126860965512,76,1475331126863054990,gps_origin,0,1,39.717682198,2.58652541569,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331127857335300,77,1475331127862828969,gps_origin,0,1,39.7176837209,2.58652624953,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331128863758327,78,1475331128862786054,gps_origin,0,1,39.7176820869,2.58652759755,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331129859895783,79,1475331129862608909,gps_origin,0,1,39.7176799342,2.5865309599,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331130856892328,80,1475331130862328052,gps_origin,0,1,39.7176815805,2.58653066261,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475331131863145099,81,1475331131862667083,gps_origin,0,1,39.7176797565,2.5865323805,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332269857243005,82,1475332269862728118,gps_origin,0,1,39.717647179,2.5865469667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332270860962870,83,1475332270862930059,gps_origin,0,1,39.7176494679,2.58654680234,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332271865820165,84,1475332271862734079,gps_origin,0,1,39.7176501401,2.58654788525,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332272859529130,85,1475332272863130092,gps_origin,0,1,39.7176498252,2.58654550845,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332273857510305,86,1475332273863334894,gps_origin,0,1,39.7176506122,2.58654518777,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332274858313142,87,1475332274862993955,gps_origin,0,1,39.7176521362,2.58654622257,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332275856046050,88,1475332275862864017,gps_origin,0,1,39.7176497587,2.58654548567,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332276858272271,89,1475332276862884998,gps_origin,0,1,39.7176514619,2.58654626809,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332277867272039,90,1475332277863962888,gps_origin,0,1,39.7176507137,2.58654521048,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332278855429497,91,1475332278862802982,gps_origin,0,1,39.7176495183,2.58654659308,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332279859026294,92,1475332279862751960,gps_origin,0,1,39.7176483749,2.58654522394,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332280858590335,93,1475332280862770080,gps_origin,0,1,39.7176501798,2.58654498571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332281863926442,94,1475332281862473011,gps_origin,0,1,39.7176505206,2.58654572956,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332282864891839,95,1475332282862188100,gps_origin,0,1,39.717650891,2.58654475537,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332283863375794,96,1475332283862970113,gps_origin,0,1,39.717649076,2.58654712475,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332284862858580,97,1475332284863275051,gps_origin,0,1,39.7176511279,2.58654524233,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332285855270835,98,1475332285862935066,gps_origin,0,1,39.7176496542,2.58654617054,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332286855910133,99,1475332286862622976,gps_origin,0,1,39.7176516489,2.58654669761,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332287854454691,100,1475332287862895011,gps_origin,0,1,39.7176495033,2.58654520196,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332288860788193,101,1475332288862859964,gps_origin,0,1,39.7176502735,2.58654438714,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332289858522200,102,1475332289862405061,gps_origin,0,1,39.7176497013,2.58654792113,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332290857880955,103,1475332290862813949,gps_origin,0,1,39.7176505286,2.58654826441,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332291864717919,104,1475332291863313913,gps_origin,0,1,39.7176511798,2.58654549936,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332292863692313,105,1475332292862886905,gps_origin,0,1,39.7176516473,2.58654600448,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1475332293863504060,106,1475332293863137006,gps_origin,0,1,39.7176504964,2.58654591099,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
