%time,field.data
1475331136865017111,50.0
1475331136875072760,50.0
1475331138868076944,66.6666717529
1475331138868076944,66.6666717529
1475331148867071500,37.5
1475331148867071500,37.5
1475331152863224440,40.0
1475331154876291817,45.4545478821
1475331154876291817,36.3636360168
1475331156869015157,50.0
1475331156869015157,41.6666641235
1475331158871616296,53.846157074
1475331158871616296,46.1538467407
1475331160864663887,57.1428604126
1475331160864663887,50.0
1475331166874878624,52.9411773682
1475331166874878624,47.0588226318
1475331168867531244,55.555557251
1475331168867531244,50.0
1475331170869660288,57.8947372437
1475331170869660288,52.6315803528
1475331172872187121,60.0000038147
1475331172872187121,55.0
1475331174865860763,61.9047622681
1475331174865860763,57.1428604126
1475331180864377876,58.3333320618
1475331180864377876,54.1666679382
1475331182867186689,60.0000038147
1475331182867186689,56.0
1475331186871713566,59.2592582703
1475331186871713566,55.555557251
1475331194871494670,54.8387107849
1475331194871494670,51.6128997803
1475331196864475552,56.25
1475331196864475552,53.125
1475331198866612393,57.575756073
1475331198866612393,54.5454559326
1475331200869084575,58.8235321045
1475331200869084575,55.8823509216
1475331202871825230,60.0000038147
1475331202871825230,57.1428604126
1475331204864183421,61.1111106873
1475331204864183421,58.3333320618
1475331206866801176,62.1621627808
1475331206866801176,59.4594612122
1475331208869443227,63.1578903198
1475331208869443227,60.5263175964
1475331210871649883,64.1025695801
1475331210871649883,61.5384635925
1475331212864608682,65.0
1475331212864608682,62.5
1475331214867422610,65.8536605835
1475331214867422610,63.4146347046
1475331216869946636,66.6666717529
1475331216869946636,64.2857131958
1475331218872212309,67.4418640137
1475331218872212309,65.1162796021
1475331220865175917,68.1818161011
1475331220865175917,65.9090957642
1475331222868793170,68.8888931274
1475331222868793170,66.6666717529
1475331224872330004,69.5652160645
1475331224872330004,67.3913040161
1475331226864960208,70.2127609253
1475331226864960208,68.085105896
1475331228869611046,70.8333282471
1475331228869611046,68.75
1475331232874254910,70.0
1475331232874254910,68.0
1475331234867539094,70.5882339478
1475331234867539094,68.627456665
1475331236869889475,71.1538467407
1475331236869889475,69.2307739258
1475331238872345030,71.6981124878
1475331238872345030,69.8113174438
1475331242868491586,70.9090881348
1475331242868491586,69.0909118652
1475331244871842995,71.4285736084
1475331244871842995,69.6428604126
1475331246875294736,71.9298248291
1475331246875294736,70.1754379272
1475331248868609113,72.4137878418
1475331248868609113,70.6896514893
1475331250872327713,72.8813552856
1475331250872327713,71.1864395142
1475331252865368417,73.3333358765
1475331252865368417,71.6666641235
1475331254868496233,73.7704925537
1475331254868496233,72.1311416626
1475331256871567086,74.1935501099
1475331256871567086,72.5806503296
1475331258868546949,74.6031799316
1475331258868546949,73.01587677
1475331260871085768,75.0
1475331260871085768,73.4375
1475331262869949826,75.3846130371
1475331262869949826,73.8461532593
1475331264867769922,75.7575759888
1475331264867769922,74.2424240112
1475331266871740997,76.1194076538
1475331266871740997,74.6268615723
1475331268864902807,76.4705886841
1475331268864902807,75.0
1475331270867732443,76.8115921021
1475331270867732443,75.3623199463
1475331278868823956,72.6027374268
1475331278878883982,73.9726028442
1475331296869306467,67.0731735229
1475331296869306467,65.8536605835
1475331298862081415,67.4698791504
1475331298862081415,66.2650604248
1475331300866521885,67.8571395874
1475331300866521885,66.6666717529
1475331302869379560,68.2352981567
1475331302869379560,67.0588226318
1475331306866364518,67.8160934448
1475331306866364518,66.6666717529
1475331308874919953,68.1818161011
1475331308874919953,67.0454559326
1475331310869024673,68.5393295288
